name,semester,status,credits,embedding,teaches_skills,prerequisites_for,prerequisites_required
Knowledge based Engineering,odd,mandatory,3,"[-0.13030587136745453, 0.10625733435153961, 0.1477840095758438, 0.0325373150408268, 0.1301492601633072, 0.047554537653923035, 0.03078530542552471, 0.07672346383333206, -0.15733686089515686, 0.22591552138328552, 0.026916345581412315, -0.03244364261627197, 0.12113893032073975, -0.10600705444812775, 0.08748580515384674, -0.00564194843173027, -0.05005740374326706, -0.25592899322509766, 0.07146743685007095, 0.2564505338668823, 0.02416318655014038, -0.12175415456295013, 0.0, 0.323527455329895, 0.10088665038347244, 0.06530392915010452, 0.3429352045059204, -0.17308396100997925, 0.09938492625951767, -0.034424953162670135, -0.05130884051322937, -0.09713234752416611, -0.041203685104846954, -0.10188779979944229, -0.019157446920871735, 0.06686858832836151, -0.09749728441238403, 0.2866206169128418, 0.10464096069335938, -0.1456880271434784, -0.11276480555534363, -0.06295767426490784, 0.09422257542610168, -0.007665231823921204, -0.16657650470733643, -0.0650746300816536, -0.07171772420406342, -0.12191076576709747, 0.16609691083431244, 0.14241333305835724, 0.1144021600484848, 0.09749728441238403, 0.1559288203716278, 0.11237887293100357, -0.09410791844129562, -0.1256650686264038, -0.07897605001926422, 0.12264063209295273, 0.10213808715343475, 0.13592684268951416, 0.09938493371009827, 0.10464095324277878, 0.07171772420406342, 0.06782778352499008, 0.16072621941566467, 0.13053517043590546, 0.056450214236974716, -0.10088665038347244, -0.032287031412124634, 0.027781859040260315, 0.08095736801624298, 0.10175216197967529, 0.15219548344612122, -0.05467722937464714, -0.2908545136451721, -0.05770165100693703, -0.05795193463563919, 0.004233904182910919, 0.01867784559726715, -0.059453658759593964, -0.11465243995189667, -0.0609344057738781, -0.1432788372039795, 0.018406584858894348, 0.0746065080165863, 0.02166031487286091, -0.15658600628376007, -0.24705427885055542, -0.057566020637750626, 0.2201589047908783, -0.28286629915237427, -0.12541478872299194, -0.1255294382572174, -0.0345396064221859, -0.05044332519173622, 0.1714676022529602, 0.10949008166790009, -0.17922648787498474, -0.028762035071849823, 0.03378875181078911, -0.05044332519173622, -0.008509758859872818, 0.09112545847892761, -0.29763323068618774, 0.10338952392339706, 0.09963521361351013, -0.09023895859718323, -0.22575891017913818, -0.0037543054204434156, 0.14218400418758392, 0.11777053773403168, -0.13053517043590546, 0.2705812454223633, 0.13515500724315643, 0.06195652857422829, 0.018771527335047722, 0.08421109616756439, 0.06420911848545074, -0.11763489991426468, -0.04043184220790863, 0.11638346314430237, 0.11112743616104126, 0.16118483245372772, 0.06844301521778107, 0.05044332519173622, 0.20177330076694489, -0.01649796962738037, -0.09197001159191132]",[AI/ML],[],[]
Linear Algebra,odd,mandatory,3,"[0.15075567364692688, 0.2921770215034485, 0.15075567364692688, -0.15075567364692688, 0.1414213478565216, 0.009334325790405273, 0.1414213478565216, 0.1414213478565216, 0.0, 0.1414213478565216, 0.15075567364692688, -0.1414213478565216, 0.0, 0.0, 0.15075567364692688, 0.0, 0.15075567364692688, 0.1414213478565216, 0.1414213478565216, 0.15075567364692688, -0.15075567364692688, 0.0, 0.0, 0.0, -0.15075567364692688, 0.0, 0.1414213478565216, 0.15075567364692688, -0.1414213478565216, 0.1414213478565216, 0.009334325790405273, -0.1414213478565216, 0.0, -0.1414213478565216, -0.1414213478565216, 0.15075567364692688, -0.2921770215034485, -0.1414213478565216, 0.0, 0.1414213478565216, -0.1414213478565216, -0.1414213478565216, 0.0, 0.009334325790405273, 0.1414213478565216, -0.2921770215034485, 0.15075567364692688, 0.1414213478565216, 0.0, -0.1414213478565216, 0.0, -0.009334325790405273, -0.15075567364692688, 0.0, 0.15075567364692688, 0.1414213478565216, 0.0, 0.0, 0.0, 0.0, -0.009334325790405273, -0.15075567364692688, 0.15075567364692688, 0.0, -0.1414213478565216, 0.15075567364692688, 0.0, 0.15075567364692688, 0.1414213478565216, 0.0, 0.15075567364692688, 0.0, -0.15075567364692688, 0.0, 0.15075567364692688, -0.1414213478565216, 0.1414213478565216, 0.0, 0.0, 0.0, 0.15075567364692688, -0.15075567364692688, 0.0, 0.0, -0.2921770215034485, 0.1414213478565216, 0.0, 0.009334325790405273, 0.0, 0.0, 0.0, -0.1414213478565216, 0.0, -0.1414213478565216, 0.0, 0.0, -0.1414213478565216, -0.1414213478565216, -0.15075567364692688, 0.0, -0.1414213478565216, -0.2921770215034485, 0.0, 0.009334325790405273, -0.1414213478565216, -0.2921770215034485, 0.0, 0.1414213478565216, 0.0, 0.15075567364692688, 0.0, 0.1414213478565216, 0.0, 0.0, 0.0, 0.2921770215034485, 0.1414213478565216, 0.0, 0.0, 0.15075567364692688, 0.15075567364692688, 0.0, 0.0, 0.0, 0.2921770215034485, 0.0, 0.15075567364692688, 0.15075567364692688]",[],[Numerical Computation],[]
Machine Learning,even,mandatory,3,"[-0.016940072178840637, 0.10443516820669174, 0.1987971067428589, 0.12383349984884262, 0.16032011806964874, 0.03983292728662491, 0.03571254387497902, -0.04699330776929855, -0.180617555975914, 0.27244770526885986, -0.06761584430932999, -0.01076263003051281, 0.09317167103290558, -0.2331000417470932, 0.2759656310081482, 0.19910231232643127, -0.1586478054523468, -0.3861957788467407, 0.13510067760944366, -0.0735827311873436, 0.12598416209220886, -0.21693791449069977, -0.05537170171737671, 0.49399998784065247, 0.07641838490962982, 0.17746274173259735, 0.2315240353345871, -0.09319815039634705, 0.06271183490753174, 0.057593025267124176, 0.059721801429986954, 0.04330446198582649, -0.06421652436256409, -0.2336217164993286, 0.07995322346687317, 0.15479779243469238, -0.1972925215959549, 0.23900248110294342, 0.06551560014486313, -0.23217111825942993, -0.232985258102417, -0.19712698459625244, 0.16306151449680328, 0.02661856636404991, -0.021305417641997337, -0.09539280086755753, -0.04768344759941101, -0.2098470777273178, 0.23280902206897736, 0.2877587676048279, 0.2170378416776657, 0.24311363697052002, 0.18430276215076447, 0.1770448386669159, -0.06390325725078583, -0.0890824943780899, -0.15814825892448425, 0.004754446446895599, -0.08258099108934402, 0.11957356333732605, 0.19246654212474823, 0.0145640280097723, 0.13573281466960907, -0.027640391141176224, 0.08508989214897156, 0.0009664706885814667, 0.06650198996067047, -0.07329604774713516, -0.11035693436861038, -0.039445724338293076, 0.02108543924987316, 0.04993036389350891, 0.14902156591415405, -0.010518139228224754, -0.2297314703464508, -0.017617175355553627, -0.11447782814502716, -0.019455930218100548, -0.009407751262187958, 0.09297292679548264, -0.01922689750790596, 0.1284041553735733, -0.18040812015533447, -0.15664443373680115, 0.030533112585544586, -0.005248211324214935, -0.1041756272315979, -0.2396446168422699, -0.06646204739809036, 0.20334862172603607, -0.2745622992515564, -0.30214500427246094, 0.0012239962816238403, -0.12323197722434998, -0.08089219778776169, 0.3319580554962158, 0.15321767330169678, -0.31427761912345886, -0.1833406686782837, 0.020633643493056297, 0.03363565728068352, 0.0012010112404823303, -0.06578515470027924, -0.3768806457519531, -0.03626088798046112, 0.07714813947677612, -0.2540820240974426, -0.39975541830062866, 0.015744656324386597, 0.16102227568626404, 0.10389382392168045, -0.0017407312989234924, 0.35055336356163025, -0.0032825246453285217, 0.06656761467456818, -0.009166473522782326, 0.19283992052078247, 0.09402166306972504, -0.02542351372539997, -0.139448881149292, 0.10739611089229584, 0.2725953459739685, 0.1928263008594513, -0.06136325001716614, 0.04974416270852089, 0.0012409877963364124, 0.04862823337316513, -0.12155253440141678]","[Python, AI/ML, Machine Learning]","[Data Mining, Image Processing and Computer Vision, Deep Learning, Software Construction]",[Artificial Intelligence Concepts]
Mobile Computing,even,elective,3,"[0.24126960337162018, -0.03290952742099762, -0.06272619962692261, 0.19263562560081482, -0.10758509486913681, -0.04218101501464844, -0.12011285871267319, 0.2545251250267029, 0.25928831100463867, 0.10489018261432648, 0.04029371961951256, 0.04760186746716499, -0.06629227846860886, 0.13736698031425476, -0.020976386964321136, -0.38249024748802185, 0.10034752637147903, 0.15722189843654633, 0.060533307492733, -0.311555951833725, -0.13065274059772491, -0.04522930458188057, -0.14953310787677765, 0.01097261905670166, -0.045540906488895416, -0.0243229940533638, -0.04357324540615082, -0.03053419664502144, -0.14610840380191803, 0.0404776856303215, -0.0882747620344162, 0.07694503664970398, -0.02124517410993576, -0.032486800104379654, -0.15120765566825867, -0.06468304991722107, 0.02750367671251297, 0.023852258920669556, -0.12246540188789368, -0.06827417016029358, -0.037436410784721375, 0.061407238245010376, 0.3154258728027344, 0.2157353013753891, -0.048116423189640045, -0.06022322550415993, 0.08360922336578369, -0.1668573021888733, -0.004111681133508682, 0.0531015507876873, -0.0069792866706848145, -0.0750952884554863, 0.034321293234825134, -0.14999009668827057, -0.23834142088890076, 0.04483688622713089, 0.05530218034982681, -0.011027641594409943, -0.00021348241716623306, 0.1860470026731491, 0.15318354964256287, -0.10574311017990112, 0.1883382350206375, 0.19431719183921814, 0.01130044087767601, -0.12656934559345245, -0.19609510898590088, -0.04308674484491348, -0.06901521980762482, 0.06383189558982849, -0.06022147089242935, 0.028439700603485107, -0.04763190075755119, -0.04478457570075989, 0.005328499712049961, -0.009229466319084167, -0.15800800919532776, 0.011098228394985199, 0.06996800005435944, -0.14054042100906372, -0.10967535525560379, 0.1538652926683426, -0.22510665655136108, 0.15652191638946533, -0.022697754204273224, 0.07197817414999008, 0.112897589802742, -0.0546494759619236, -0.02019479125738144, -0.1336306929588318, -0.017269384115934372, 0.06135069578886032, -0.09147295355796814, 0.04202459007501602, 0.13368050754070282, 0.012970015406608582, -0.08232635259628296, -0.08919049799442291, 0.017810974270105362, -0.1318102329969406, -0.004085158929228783, 0.014768190681934357, -0.10204485803842545, 0.03558740392327309, 0.08443434536457062, -0.03517045080661774, -0.022819116711616516, 0.10715286433696747, 0.09685728698968887, 0.18349376320838928, 0.07346378266811371, -0.13775689899921417, -0.1645112782716751, -0.20246699452400208, 0.21843221783638, 0.07396607100963593, 0.08032341301441193, 0.2938118278980255, -0.1953127682209015, 0.006110839545726776, -0.05810016393661499, 0.10041210800409317, -0.00528495479375124, 0.07551048696041107, -0.1709829866886139, 0.055004607886075974, -0.030771203339099884, 0.01120758056640625]","[iOS, Android, Mobile Development]",[],[Computer Network]
Mobile Programming,even,mandatory,3,"[0.25099313259124756, 0.01662152260541916, -0.038571055978536606, 0.21395903825759888, -0.05102726072072983, -0.019205398857593536, -0.14094002544879913, 0.29469749331474304, 0.22598952054977417, 0.07836087048053741, 0.07681161910295486, 0.0240249615162611, -0.010364711284637451, 0.17323049902915955, 0.056510232388973236, -0.328320175409317, 0.08223630487918854, 0.1482568383216858, 0.07036228477954865, -0.26761236786842346, -0.20561528205871582, -0.012706965208053589, -0.16512376070022583, 0.09383881092071533, -0.06697152554988861, 0.03027411922812462, 0.002547048032283783, -0.022267859429121017, -0.14523039758205414, 0.010395333170890808, -0.095786914229393, 0.058682262897491455, 0.03381287306547165, -0.03281736746430397, -0.15435032546520233, -0.12526880204677582, 0.009815558791160583, 0.020893454551696777, -0.10949168354272842, -0.06455869972705841, -0.046438515186309814, 0.025062672793865204, 0.2859756350517273, 0.1682744324207306, 0.004416909534484148, -0.06157676875591278, 0.1120840311050415, -0.1652487814426422, -0.06783591210842133, 0.1292247772216797, -0.04218266159296036, -0.14308521151542664, 0.025423921644687653, -0.14778053760528564, -0.23969510197639465, 0.020480811595916748, 0.03180420398712158, -0.05628401041030884, -0.009114527143537998, 0.13963547348976135, 0.15658211708068848, -0.12502720952033997, 0.179336279630661, 0.18449251353740692, -0.004753602668642998, -0.043400611728429794, -0.1877942681312561, -0.0018621832132339478, -0.030547941103577614, 0.05588514730334282, -0.08249017596244812, 0.01579318195581436, -0.09370848536491394, -0.0367848239839077, -0.014790788292884827, -0.013767637312412262, -0.17349354922771454, 0.030511915683746338, 0.02046704664826393, -0.13508273661136627, -0.0585189089179039, 0.1528194397687912, -0.2414521872997284, 0.11732769757509232, -0.039471469819545746, 0.09890075773000717, 0.11599010974168777, -0.08682426810264587, 0.008606795221567154, -0.18274079263210297, -0.0339716412127018, 0.0516178160905838, -0.13682527840137482, 0.06458324939012527, 0.11320606619119644, -0.009117618203163147, -0.014490123838186264, -0.0919751301407814, 0.06854072213172913, -0.12581026554107666, 0.04708355665206909, -0.03235563263297081, -0.12647674977779388, -0.024107789620757103, 0.09286635369062424, -0.06749921292066574, 0.041943371295928955, 0.1488596647977829, 0.10201150923967361, 0.15541867911815643, 0.13561274111270905, -0.16186341643333435, -0.23046860098838806, -0.1734161376953125, 0.17237532138824463, 0.0855986475944519, 0.07695121318101883, 0.3003706932067871, -0.16976459324359894, 0.0010914057493209839, -0.07135321199893951, 0.04802767187356949, 0.06072007492184639, 0.06632498651742935, -0.19963225722312927, 0.0733848363161087, 0.04319354146718979, 0.011923916637897491]","[iOS, Android, Mobile Development]",[],[Object Oriented Programming]
Modeling and Simulation,odd,mandatory,3,"[0.08779366314411163, -0.006417511962354183, 0.012835023924708366, 0.04928859323263168, -0.05134008824825287, 0.32703009247779846, -0.10909769684076309, 0.042871080338954926, 0.006417511962354183, 0.20304585993289948, 0.06417511403560638, 0.040556568652391434, 0.0, -0.06391210854053497, 0.09831418097019196, 0.08547915518283844, -0.017201028764247894, -0.06622661650180817, -0.14965426921844482, -0.030036069452762604, -0.012835023924708366, -0.019252534955739975, -0.019252536818385124, 0.19021084904670715, 0.036453574895858765, 0.3506486415863037, 0.09831418097019196, 0.006417511031031609, -0.034139055758714676, -0.14528825879096985, -0.1388707458972931, 0.11961820721626282, 0.2587519884109497, -0.030036069452762604, -0.05980910360813141, -0.1817418336868286, -0.1388707458972931, 0.0770101398229599, 0.12835022807121277, -0.006417511962354183, 0.12603572010993958, -0.08342766016721725, -0.0023145079612731934, -0.040556568652391434, 0.05339159071445465, -0.09626268595457077, -0.10036566853523254, -1.0931233695998799e-9, -0.044922586530447006, -0.010520510375499725, -0.20509737730026245, 0.03850506991147995, 0.012835022993385792, -0.017201028764247894, 0.019252534955739975, -0.05544309318065643, 0.051340095698833466, -0.21588090062141418, 0.15607178211212158, 0.05570610612630844, 0.1817418336868286, -0.09626268595457077, -0.24796843528747559, 0.09626268595457077, 0.0, 0.08547915518283844, -0.019252534955739975, 0.10473168641328812, 0.0, -1.0931233695998799e-9, -0.06622661650180817, -0.16454079747200012, 0.1517057716846466, 0.04697408154606819, 0.13450473546981812, 0.025670047849416733, 0.19662834703922272, 0.07906164228916168, -0.10268019139766693, 0.10909769684076309, -0.010783523321151733, 0.002314522862434387, 0.07906164228916168, 0.07469562441110611, -0.24155092239379883, 0.025670047849416733, 0.10268019139766693, -0.0921596884727478, 0.2756900191307068, 0.017201043665409088, 0.05339159071445465, 0.04697407782077789, -0.17532432079315186, -0.06622661650180817, -0.027721546590328217, -0.051340095698833466, -0.10241717845201492, 0.24386544525623322, -0.016938023269176483, 0.16685529053211212, -0.08342766016721725, 0.1517057716846466, -0.025670049712061882, -0.04697407782077789, 0.10268019139766693, -0.3249785900115967, 0.05339159071445465, 0.17327281832695007, -0.04928859323263168, 0.036453574895858765, 0.14528825879096985, -0.15607178211212158, 0.17969033122062683, 0.12603572010993958, 0.02335553616285324, -0.04697407782077789, 0.12835024297237396, 0.036453574895858765, -0.08316465467214584, -0.14528825879096985, 0.1388707458972931, 0.2287159264087677, 0.1989428550004959, -0.03003605455160141, -0.08984515815973282, -0.025670047849416733, 0.14118525385856628, -0.15607178211212158]",[],"[Object Oriented Simulation, Dynamic System Simulation]",[]
Multivariate Data Analysis,odd,elective,3,"[-0.03468230366706848, -0.009642073884606361, -0.08966857194900513, 0.0778934508562088, 0.12326992303133011, 0.15028370916843414, -0.12081444263458252, -0.14647576212882996, 0.01936560496687889, -0.048804305493831635, 0.10031528770923615, 0.23027966916561127, 0.07967694103717804, 0.09477300941944122, 0.2481927126646042, -0.015907205641269684, -0.06782206892967224, 0.038189876824617386, -0.004350997507572174, 0.06042337417602539, 0.18755212426185608, -0.13664020597934723, -0.0880785658955574, 0.2596980333328247, 0.06579418480396271, 0.11797714233398438, 0.057774413377046585, -0.015369299799203873, 0.03421729803085327, 0.17178237438201904, 0.07932738959789276, 0.038732923567295074, 0.09566390514373779, 0.040003955364227295, 0.007916301488876343, 0.18031464517116547, 0.039080772548913956, -0.07886580377817154, 0.10868462920188904, -0.022121459245681763, 0.08267545700073242, 0.04545793682336807, -0.2347901463508606, -0.30201998353004456, 0.04639802873134613, 0.018824264407157898, 0.072520911693573, -0.16670170426368713, 0.1611679494380951, 0.052532508969306946, 0.002886474132537842, -0.044023994356393814, 0.10576926916837692, 0.13680140674114227, -0.02271367609500885, -0.007617618888616562, -0.08826691657304764, -0.16619092226028442, -0.027224179357290268, -0.0932084321975708, 0.06795782595872879, -0.05058608949184418, -0.05839720368385315, 0.04367443174123764, 0.07578752934932709, 0.11946196854114532, -0.003807954490184784, 0.10199017822742462, 0.08508004248142242, -0.035814154893159866, 0.04499634727835655, -0.2293378710746765, -0.06733673810958862, -0.12821313738822937, 0.07325230538845062, 0.023173559457063675, 0.012859523296356201, 0.10366165637969971, -0.126024067401886, 0.0888897031545639, 0.029058560729026794, 0.12902258336544037, 0.058665305376052856, -0.21669556200504303, -0.07192869484424591, 0.03954235836863518, 0.029009390622377396, 0.01066531240940094, 0.15406110882759094, -0.031252771615982056, 0.11198180913925171, -0.11054786294698715, -0.25267264246940613, 0.08518694341182709, 0.13574759662151337, 0.09188822656869888, -0.033628493547439575, 0.018472999334335327, 0.06492874026298523, -0.10965698212385178, 0.13415415585041046, -0.09807190299034119, -0.06703635305166245, 0.026333287358283997, -0.16859722137451172, -0.040514711290597916, 0.03138340264558792, -0.019043192267417908, 0.030735168606042862, -0.21094462275505066, -0.026253534480929375, 0.14433757960796356, 0.032897092401981354, 0.10412323474884033, 0.058098528534173965, 0.0733303502202034, -0.054127659648656845, 0.061365142464637756, -0.09177619218826294, 0.0950733870267868, 0.04837328940629959, 0.09942267835140228, 0.09499192237854004, 0.05831574648618698, 0.03775886073708534, -0.15519466996192932, 0.22606953978538513, -0.20095297694206238]","[Data Analysis, R]",[],[]
Network Programming,even,mandatory,3,"[0.007243666797876358, -0.1379890888929367, 0.01944592222571373, -0.2329106628894806, -0.04602334275841713, -0.20531922578811646, -0.18702207505702972, -0.1422911286354065, 0.195906862616539, -0.09566311538219452, -0.28949180245399475, 0.2038201540708542, -0.2506318688392639, 0.10056628286838531, -0.06152579188346863, -0.28116947412490845, 0.17095045745372772, -0.028603143990039825, -0.031816378235816956, -0.12396135181188583, 0.20595091581344604, -0.132917582988739, -0.14339324831962585, -0.0889507457613945, -0.17978417873382568, 0.03139059990644455, 0.11326710879802704, 0.04747849702835083, -0.007657259702682495, -0.10235828161239624, -0.036016568541526794, 0.1631748229265213, -0.144858717918396, 0.0019138026982545853, 0.13394209742546082, -0.04749114811420441, 0.08534054458141327, -0.012685440480709076, -0.08122742176055908, -0.08774817734956741, -0.1878909170627594, 0.15960842370986938, 0.28545689582824707, -0.010369233787059784, -0.268049955368042, 0.05559294670820236, -0.19750720262527466, -0.12762407958507538, 0.18770670890808105, -0.34920167922973633, 0.16475842893123627, 0.20697768032550812, -0.02566792257130146, 0.05138251557946205, -0.02569001540541649, 0.17353729903697968, 0.058767639100551605, -0.026588940992951393, 0.019279491156339645, 0.054364703595638275, 0.006098121404647827, -0.05358988791704178, -0.14860300719738007, 0.001783094834536314, -0.08702338486909866, -0.2761407494544983, -0.1923646181821823, 0.24632269144058228, -0.29187092185020447, 0.12925873696804047, 0.1613374799489975, -0.023383431136608124, 0.2753690779209137, 0.066712386906147, 0.10239113122224808, 0.11429010331630707, 0.1629592329263687, 0.044236667454242706, 0.12133163958787918, 0.0526229664683342, -0.2698097229003906, 0.34140193462371826, 0.05694308504462242, -0.006283063441514969, -0.1807287633419037, -0.23811349272727966, 0.051210738718509674, 0.06180550158023834, 0.0709913820028305, -0.06029339134693146, 0.13507762551307678, -0.11434542387723923, 0.07392776012420654, -0.18384996056556702, 0.07765486091375351, -0.03348202258348465, -0.3159814476966858, -0.07324856519699097, -0.21601933240890503, 0.11497271806001663, -0.1688419133424759, 0.04814586043357849, -0.13381250202655792, 0.15866076946258545, -0.1410415768623352, 0.07530034333467484, -0.1034797877073288, -0.13806544244289398, -0.07708373665809631, 0.024421075358986855, -0.10714192688465118, 0.048925623297691345, 0.012292895466089249, -0.021867644041776657, 0.0900634378194809, 0.0004044109955430031, -0.00031873956322669983, 0.14974293112754822, -0.22998261451721191, 0.15957340598106384, 0.009145322255790234, 0.02459249645471573, -0.10183762013912201, -0.12490038573741913, 0.12819713354110718, -0.2666945457458496, -0.16043879091739655, 0.043513763695955276]",[Networking],[Digital Forensic],[Computer Network]
Network Security,even,elective,3,"[0.1336372196674347, -0.23309528827667236, -0.004267280921339989, -0.010131869465112686, -0.11368615180253983, -0.07912883907556534, -0.008418024517595768, -0.07339860498905182, 0.2659551203250885, -0.002132114954292774, -0.3147315979003906, 0.23746249079704285, -0.25258439779281616, 0.12762631475925446, -0.04055717587471008, -0.2472248375415802, 0.06092985346913338, 0.027242915704846382, -0.002211000770330429, -0.22911155223846436, 0.19324050843715668, -0.1827024221420288, -0.019508980214595795, -0.23761865496635437, -0.023909911513328552, -0.13458116352558136, -0.03164105862379074, 0.07876421511173248, 0.09314650297164917, -0.13305172324180603, -0.001855894923210144, 0.3521568179130554, -0.12236648797988892, 0.016037937253713608, 0.0665995329618454, 0.013695325702428818, 0.0457160621881485, -0.035726599395275116, -0.05618562176823616, -0.0754576027393341, -0.25825121998786926, 0.16321982443332672, 0.14245519042015076, 0.10218413174152374, -0.09843508154153824, 0.0356316938996315, -0.10256677865982056, 0.05241657793521881, 0.09386087208986282, -0.2277894765138626, 0.09163737297058105, 0.14126527309417725, 0.006812348961830139, 0.07643068581819534, 0.08230481296777725, 0.19215568900108337, -0.005139198154211044, -0.040460631251335144, 0.12491460144519806, 0.22580912709236145, -0.08636289089918137, -0.14341753721237183, -0.06261944025754929, -0.04976823180913925, -0.01623297855257988, -0.11683417111635208, -0.049942679703235626, 0.09256021678447723, -0.1873742640018463, 0.05517656356096268, 0.14396262168884277, 0.04083925858139992, 0.29869532585144043, 0.1143580973148346, 0.08396795392036438, -0.03279080241918564, 0.08744406700134277, 0.018832288682460785, 0.2674591839313507, -0.0022894516587257385, -0.0731118768453598, 0.11773079633712769, 0.08612556755542755, 0.24306562542915344, -0.013818513602018356, -0.15411096811294556, 0.06452906131744385, 0.15023669600486755, 0.032802797853946686, -0.18695010244846344, 0.06337875872850418, -0.1827186495065689, 0.3168361485004425, -0.24276605248451233, -0.10171621292829514, -0.031813398003578186, -0.1292140781879425, 0.07582759857177734, -0.22407785058021545, 0.08215441554784775, -0.15354138612747192, 0.1563648134469986, -0.11017388850450516, 0.1817222535610199, 0.0020416751503944397, -0.05476748198270798, -0.17096585035324097, -0.03847616910934448, -0.13248451054096222, 0.09376364946365356, -0.15382662415504456, -0.049909722059965134, 0.14060622453689575, -0.04251207038760185, 0.1003541424870491, -0.054045431315898895, 0.057425156235694885, 0.04978127032518387, -0.23630648851394653, -0.03569677472114563, 0.2551458477973938, 0.29055243730545044, -0.07895265519618988, -0.07949824631214142, 0.10427302867174149, -0.07757304608821869, -0.1986924260854721, 0.12756381928920746]","[Networking, Firewall, VPN]",[],[Computer Network]
Network Technology,odd,elective,3,"[0.025426313281059265, -0.12162628769874573, 0.050362665206193924, -0.15862996876239777, -0.14589321613311768, -0.15448956191539764, -0.06248743459582329, -0.06786779314279556, 0.14585693180561066, 0.027742775157094002, -0.3716897964477539, 0.26707765460014343, -0.3129337430000305, 0.07133830338716507, -0.1825561821460724, -0.29126840829849243, 0.19847697019577026, -0.006455208174884319, 0.06536497175693512, -0.26957809925079346, 0.2049870789051056, -0.12266583740711212, -0.06659269332885742, -0.17805205285549164, -0.08697301894426346, -0.14102867245674133, -0.00738506019115448, -0.05204906314611435, 0.112483911216259, -0.11638385057449341, 0.03983867168426514, 0.31635165214538574, -0.12259962409734726, -0.06408517062664032, 0.003138955682516098, 0.042099952697753906, 0.160306915640831, 0.0022494010627269745, -0.10966689139604568, -0.028425559401512146, -0.24625736474990845, 0.08925141394138336, 0.22257106006145477, 0.1694464236497879, -0.20549440383911133, 0.09023582935333252, -0.14358274638652802, -0.059731900691986084, 0.10133691877126694, -0.26973026990890503, 0.16149216890335083, 0.17284460365772247, 0.07276447117328644, 0.1248960942029953, 0.09819722175598145, 0.15279799699783325, 0.14609602093696594, 0.05519191920757294, 0.027838043868541718, 0.13331806659698486, -0.12151634693145752, -0.1545906364917755, -0.06762798130512238, -0.05481184273958206, -0.005972143262624741, -0.34292906522750854, -0.13086697459220886, 0.07451525330543518, -0.20686739683151245, 0.19445309042930603, 0.09782402217388153, 0.060463689267635345, 0.2617103159427643, 0.13892626762390137, 0.09451384842395782, 0.02163831889629364, 0.09933331608772278, -0.03850097581744194, 0.2618274688720703, 0.10660014301538467, -0.19340837001800537, 0.20323309302330017, 0.13475850224494934, 0.09766435623168945, -0.16115792095661163, -0.2825641334056854, 0.05494470149278641, 0.2081756889820099, -0.0023115575313568115, -0.20516175031661987, 0.08818621933460236, -0.11961306631565094, 0.2949293255805969, -0.2578955888748169, -0.06351526826620102, -0.05467510595917702, -0.24426892399787903, -0.009272872470319271, -0.20882278680801392, 0.11065386235713959, -0.11413482576608658, 0.169545516371727, -0.12065861374139786, 0.13747887313365936, 0.052378538995981216, 0.11903538554906845, -0.09353621304035187, -0.044649139046669006, -0.06788366287946701, 0.042369544506073, -0.13949507474899292, -0.0735182911157608, 0.10216459631919861, -0.08690359443426132, 0.21359243988990784, -0.0012938654981553555, 0.0031190961599349976, 0.07511413097381592, -0.280632346868515, 0.0819842517375946, 0.11807477474212646, 0.11973631381988525, -0.12023334205150604, -0.09212653338909149, 0.056869156658649445, -0.09033989161252975, -0.2507114112377167, 0.08108626306056976]","[Networking, Cisco, Firewall]",[],[Computer Network]
