name,embedding,taught_by_classes,required_by_careers
IT Sales,"[0.0, -0.15303325653076172, -0.024283625185489655, 0.3001756966114044, -0.20821166038513184, 0.09196402132511139, 0.03678560629487038, -0.11624764651060104, -0.07946203649044037, 0.1471424251794815, 0.09196402132511139, 0.09196402132511139, 0.18392804265022278, -0.03678560629487038, -0.09196402132511139, 0.18392804265022278, 0.0, 0.03678560629487038, 0.15303325653076172, -0.09196402132511139, -0.12874962389469147, -0.12874962389469147, -0.3001756966114044, -0.3244593143463135, 0.12874962389469147, 0.0, 0.07946203649044037, -0.11624764651060104, -0.055178411304950714, 0.09196402132511139, -0.07946203649044037, -0.20821166038513184, 0.06106923520565033, 0.06106923520565033, 0.0, 0.11624764651060104, 0.11624764651060104, 0.09196402132511139, 0.055178411304950714, 0.1405312716960907, -0.09196402132511139, 0.12874962389469147, 0.11624764651060104, 0.18392804265022278, -0.15303325653076172, 0.12874962389469147, 0.11624764651060104, 0.0, 0.0, -0.03678560629487038, -0.11624764651060104, -0.03678560629487038, 0.055178411304950714, 0.024283625185489655, -0.11624764651060104, 0.03678560629487038, -0.1471424251794815, -0.06106923520565033, 0.024283625185489655, -0.11624764651060104, 0.0, -0.024283625185489655, 0.03678560629487038, -0.11624764651060104, -0.09196402132511139, 0.0, 0.11624764651060104, 0.0, 0.012501977384090424, -0.18392804265022278, -0.36124491691589355, -0.17142605781555176, -0.024283625185489655, 0.18392804265022278, -0.20821166038513184, -0.09196402132511139, -0.024283625185489655, 0.24499726295471191, 0.0, -0.024283625185489655, -0.20821166038513184, 0.09196402132511139, 0.055178411304950714, 0.12874962389469147, -0.09196402132511139, 0.024283625185489655, -0.09196402132511139, 0.20821166038513184, 0.11624764651060104, 0.06768039613962173, 0.195709690451622, -0.20821166038513184, 0.0, -0.11624764651060104, 0.15303325653076172, -0.12874962389469147, -0.11624764651060104, 0.0, 0.0, -0.024283625185489655, 0.2324952930212021, 0.09196402132511139, -0.024283625185489655, 0.055178411304950714, 0.12874962389469147, 0.1044660285115242, -0.055178411304950714, -0.11624764651060104, 0.09196402132511139, 0.0, -0.15303325653076172, 0.0, -0.09196402132511139, 0.1471424251794815, -0.20821166038513184, 0.12874962389469147, -0.09196402132511139, 0.0, 0.024283625185489655, 0.0, -0.024283625185489655, 0.09196402132511139, -0.20821166038513184, -0.11624764651060104, 0.0, 0.09196402132511139, -0.12874962389469147, 0.03678560629487038]",[],"[IT Sales Manager, IT Sales Representative]"
IT Service Desk,"[0.08200553059577942, -0.1582636833190918, -0.23452183604240417, 0.02475588768720627, 0.22501759231090546, 0.0, -0.24977347254753113, -0.11250879615545273, -0.1677679419517517, -0.15251630544662476, 0.045754894614219666, 0.015251630917191505, 0.08200553059577942, -0.09725716710090637, -0.23452183604240417, 0.005747377872467041, -0.009504251182079315, 0.11250879615545273, -0.19827121496200562, 0.14301206171512604, 0.12201304733753204, -0.02475588768720627, -0.11250879615545273, -0.12201304733753204, -0.12201304733753204, 0.0, 0.14301206171512604, -0.1582636833190918, 0.015251630917191505, 0.06100652366876602, -0.15251630544662476, 0.0, -0.015251630917191505, 0.0, -0.137264683842659, 0.045754894614219666, -0.2650251090526581, -0.04000750929117203, 0.09725716710090637, -0.09725716710090637, 0.009504251182079315, 0.12776042520999908, -0.015251630917191505, 0.05525914579629898, -0.12201304733753204, 0.15251630544662476, 0.21927021443843842, -0.03050326183438301, 0.2650251090526581, 0.12776042520999908, 0.03050326183438301, -0.14301206171512604, 0.12776042520999908, 0.0, -0.15251630544662476, -0.04000750929117203, -0.03050326183438301, 0.11250879615545273, 0.11250879615545273, -0.2650251090526581, 0.11250879615545273, 0.12776042520999908, 0.19827121496200562, -0.005747377872467041, 0.0, -0.04000752419233322, -0.11250879615545273, 0.23452183604240417, 0.0, -0.04000750929117203, -0.09725716710090637, -0.015251630917191505, -0.18301957845687866, 0.0, -0.045754894614219666, -0.09725716710090637, -0.03050326183438301, 0.045754894614219666, -0.09150978922843933, 0.0, -0.03050326183438301, -0.03050326183438301, -0.08200553059577942, -0.11250879615545273, 0.009504251182079315, -0.09725716710090637, 0.08200553059577942, -0.015251630917191505, 0.02475588768720627, -0.05525914579629898, -0.009504251182079315, 0.2402692288160324, 0.137264683842659, -0.08200553059577942, 0.0, -0.12201304733753204, -0.09150978922843933, -0.22501759231090546, 0.11250879615545273, -0.11250879615545273, 0.10676141828298569, 0.14301206171512604, 0.14301206171512604, 0.045754894614219666, 0.137264683842659, -0.15251630544662476, 0.06100652366876602, -0.12776042520999908, 0.1582636833190918, 0.12776042520999908, 0.03050326555967331, 0.21927021443843842, 0.12201304733753204, 0.09725716710090637, 0.09725716710090637, 0.12201304733753204, 0.045754894614219666, 0.137264683842659, 0.015251630917191505, -0.015251630917191505, 0.04000752419233322, -0.09725716710090637, 0.12776042520999908, -0.11250879615545273, -0.09725716710090637, -0.03050326183438301, 0.09725716710090637, 0.137264683842659]",[],[IT Service Desk Analyst]
IT Strategy,"[-0.0032361596822738647, -0.13067567348480225, 0.0891413614153862, 0.20335671305656433, 0.11510232090950012, 0.19679658114910126, 0.038889478892087936, 0.09923329949378967, -0.1294052004814148, -0.2727137804031372, -0.016947733238339424, 0.18122321367263794, -0.06954879313707352, 0.07591717690229416, -0.10560167580842972, -0.035757243633270264, -0.11108310520648956, 0.14095936715602875, -0.12568165361881256, 0.06053555756807327, 0.030171910300850868, 0.1182345524430275, -0.15242567658424377, -0.171426922082901, 0.21296124160289764, 0.02723141945898533, -0.06827832758426666, 0.1706438660621643, 0.16662466526031494, 0.0, 0.026448357850313187, -0.06533783674240112, 0.11216183006763458, 0.04231737554073334, 0.0037235505878925323, 0.20953333377838135, -0.05162625014781952, -0.028310135006904602, 0.0068557895720005035, 0.0359489880502224, -0.04604092612862587, -0.027718834578990936, -0.14527420699596405, -0.10501037538051605, -0.010579343885183334, -0.18122321367263794, 0.0026448359712958336, 0.23754781484603882, -0.15477484464645386, 0.19131514430046082, 0.026448357850313187, -0.10128683596849442, -0.10128681361675262, 0.19601351022720337, 0.13939324021339417, 0.0891413614153862, 0.10158248245716095, 0.22089573740959167, 0.015869015827775, 0.07640457898378372, 0.04496220871806145, -0.07964073121547699, 0.22060009837150574, -0.11901762336492538, 0.12166246026754379, 0.032521091401576996, 0.0037235505878925323, -0.12803083658218384, 0.0248822383582592, -0.19787529110908508, 0.019592568278312683, 0.10814263671636581, -0.27300938963890076, -0.09208185225725174, -0.00234917551279068, 0.1381227672100067, 0.10452297329902649, 0.025369640439748764, 0.11245747655630112, 0.1174514889717102, 0.10560167580842972, 0.1706438660621643, -0.12147068977355957, -0.21109947562217712, 0.0037235505878925323, -0.1174514889717102, -0.05583721399307251, -0.141550675034523, 0.06504218280315399, -0.03624464198946953, 0.16163064539432526, -0.07934506982564926, 0.09208185225725174, 0.2658579647541046, 0.17015646398067474, -0.05524590611457825, 0.015869015827775, 0.10236553102731705, 0.0, -0.18386805057525635, -0.020375628024339676, 0.09785892814397812, -0.07621283829212189, 0.18572983145713806, 0.16427546739578247, -0.047415271401405334, -0.0359489880502224, -0.22011268138885498, -0.10158248245716095, -0.1029568463563919, 0.03948076814413071, -0.028797537088394165, 0.13224180042743683, -0.03173803165555, 0.19042818248271942, 0.08198991417884827, -0.2563573122024536, 0.09502232819795609, -0.09893764555454254, 0.0925692543387413, -0.025369640439748764, 0.06377171725034714, 0.11901762336492538, -0.1285182535648346, -0.12009632587432861, 0.07680414617061615, 0.030171910300850868, -0.141550675034523]","[Applied Technology and Digital Transformation, Enterprise Systems]","[IT Business Analyst, IT Change Manager, IT Consultant]"
Inventory,"[0.10425720363855362, 0.10425720363855362, 0.0, 0.25169914960861206, -0.10425720363855362, 0.0, 0.10425720363855362, 0.14744195342063904, 0.04318474978208542, -0.25169914960861206, 0.0, 0.20851440727710724, 0.10425720363855362, -0.14744195342063904, 0.25169914960861206, -0.10425720363855362, 0.14744195342063904, 0.14744195342063904, -0.10425720363855362, -0.10425720363855362, -0.10425720363855362, 0.0, 0.0, 0.0, 0.0, 0.10425720363855362, 0.25169914960861206, 0.0, 0.14744195342063904, -0.25169914960861206, 0.10425720363855362, 0.04318474978208542, 0.0, -0.10425720363855362, -0.25169914960861206, 0.0, 0.0, 0.20851440727710724, -0.25169914960861206, 0.10425720363855362, -0.10425720363855362, -0.25169914960861206, 0.0, -0.04318474978208542, 0.10425720363855362, 0.10425720363855362, -0.14744195342063904, 0.04318474978208542, -0.25169914960861206, -0.14744195342063904, -0.04318474978208542, 0.0, -0.10425720363855362, -0.04318474978208542, 0.10425720363855362, 0.14744195342063904, 0.14744195342063904, 0.10425720363855362, 0.14744195342063904, 0.35595637559890747, 0.0, -0.10425720363855362, 0.0, 0.10425720363855362, -0.10425720363855362, 0.0, 0.0, 0.25169914960861206, 0.0, 0.0, -0.10425720363855362, 0.0, 0.14744195342063904, -0.04318474978208542, -0.25169914960861206, 0.25169914960861206, 0.0, 0.10425720363855362, 0.04318474978208542, -0.10425720363855362, 0.0, -0.20851440727710724, -0.14744195342063904, 0.10425720363855362, 0.10425720363855362, -0.04318474978208542, 0.14744195342063904, 0.14744195342063904, 0.0, 0.0, 0.14744195342063904, -0.10425720363855362, -0.10425720363855362, 0.0, 0.10425720363855362, 0.0, -0.10425720363855362, 0.10425720363855362, -0.14744195342063904, 0.0, 0.10425720363855362, -0.25169914960861206, -0.10425720363855362, -0.10425720363855362, 0.04318474978208542, 0.25169914960861206, 0.20851440727710724, 0.14744195342063904, 0.0, 0.0, 0.0, 0.0, -0.10425720363855362, 0.14744195342063904, 0.0, -0.04318474978208542, -0.10425720363855362, 0.10425720363855362, 0.0, 0.0, -0.04318474978208542, -0.10425720363855362, -0.10425720363855362, -0.10425720363855362, -0.14744195342063904, 0.0, 0.10425720363855362, -0.20851440727710724]",[],[IT Asset Manager]
Java,"[-0.016907356679439545, -0.03572602570056915, 0.07872795313596725, -0.002233412116765976, 0.1623256802558899, 0.03417237848043442, -0.09436796605587006, 0.14033877849578857, -0.002631142735481262, -0.014211267232894897, -0.15556946396827698, 0.0035987943410873413, -0.07612385600805283, 0.3019019365310669, 0.2944317162036896, 0.11153465509414673, -0.03364214301109314, -0.11488503217697144, 0.10620877146720886, -0.18479351699352264, -0.11689573526382446, -0.15729647874832153, -0.19708584249019623, 0.30494874715805054, -0.04233403503894806, 0.1924108862876892, 0.115168496966362, 0.11577929556369781, 0.09099450707435608, -0.057216912508010864, -0.040054209530353546, 0.08076915144920349, 0.1312568485736847, -0.1347803771495819, 0.01858639344573021, 0.010910730808973312, -0.14762230217456818, 0.08515220135450363, 0.07651149481534958, -0.1184907853603363, -0.1615438163280487, -0.07595338672399521, 0.14594723284244537, 0.08051542937755585, 0.010956846177577972, -0.11228414624929428, 0.016682028770446777, -0.19470132887363434, -0.07083593308925629, 0.3002205193042755, -0.05394734442234039, -0.1361052393913269, 0.19143100082874298, 0.01773323491215706, -0.04904145002365112, -0.00395810604095459, 0.06905241310596466, 0.01861344277858734, -0.12360000610351562, -0.15057472884655, -0.00575561448931694, -0.17663374543190002, 0.015413131564855576, -0.042105499655008316, -0.12529174983501434, -0.14510968327522278, -0.19287535548210144, 0.1318035125732422, -0.1273910254240036, 0.11172977089881897, -0.013617433607578278, -0.006369397509843111, 0.014316260814666748, 0.19636204838752747, -0.11584267020225525, 0.0784415677189827, 0.005377005785703659, -0.006393246352672577, -0.027267973870038986, 0.09714625775814056, 0.04788180813193321, 0.11739234626293182, -0.02533520758152008, -0.049383729696273804, -0.0963723212480545, -0.08330373466014862, 0.12449980527162552, 0.04881635308265686, 0.0031229034066200256, -0.15477460622787476, -0.040496714413166046, -0.0375201478600502, 0.10501676052808762, -0.08983643352985382, -0.2564338147640228, 0.10591155290603638, 0.09580786526203156, -0.07167952507734299, -0.027381714433431625, -0.04309550300240517, 0.07894930243492126, -0.1482463926076889, -0.21774423122406006, -0.19644688069820404, 0.09770990908145905, -0.21060329675674438, 0.14546413719654083, 0.1347714066505432, 0.029908612370491028, 0.15135659277439117, 0.2092718482017517, -0.11119738221168518, -0.24855822324752808, 0.06805681437253952, -0.09664091467857361, -0.05977454036474228, 0.07098756730556488, 0.06448350846767426, -0.046365536749362946, 0.04497445002198219, -0.03987687826156616, -0.016381079331040382, 0.21822971105575562, -0.24225887656211853, -0.018214965239167213, -0.10249009728431702, 0.23312604427337646, 0.07643033564090729]",[Object Oriented Programming],"[Software Developer, Software Engineer]"
JavaScript,"[-0.021289046853780746, -0.025357723236083984, -0.14729902148246765, 0.29026710987091064, 0.20418781042099, 0.04281461238861084, -0.07979148626327515, 0.12332046031951904, -0.00759357213973999, 0.06037331372499466, 0.25907742977142334, -0.09303953498601913, -0.4088999330997467, 0.08349242061376572, -0.07689617574214935, 0.15983779728412628, 0.06723351031541824, -0.013449326157569885, -0.06446772068738937, -0.09416428208351135, -0.08510056883096695, -0.07095588743686676, 0.0013996660709381104, 0.09952782094478607, 0.27856653928756714, 0.07091475278139114, -0.07068536430597305, -0.05108804255723953, 0.13388526439666748, 0.010187625885009766, -0.09647344052791595, -0.058324024081230164, 0.1137176901102066, 0.04472965747117996, -0.04354289174079895, -0.013743296265602112, 0.03859545290470123, 0.1238807886838913, -0.007886750623583794, 0.09426705539226532, 0.18361248075962067, -0.0987730473279953, 0.23301559686660767, 0.033687956631183624, 0.1656472384929657, -0.06404720991849899, -0.08548671007156372, -0.12677337229251862, -0.06367325037717819, 0.07299888134002686, -0.0704653263092041, -0.040504347532987595, 0.05807232856750488, -0.012549377977848053, -0.23962649703025818, 0.04662437364459038, -0.1677156686782837, 0.28616130352020264, -0.07025641202926636, 0.21893668174743652, -0.02677878737449646, -0.08647841215133667, -0.03846100717782974, -0.0350213423371315, -0.1036423072218895, -0.13899022340774536, -0.08022679388523102, 0.1381024718284607, -0.04496711865067482, -0.1551070660352707, -0.11640768498182297, -0.17801888287067413, -0.02325431816279888, 0.07113464176654816, -0.006879603490233421, 0.21681638062000275, -0.0486479178071022, -0.0058620464988052845, 0.039740677922964096, -0.13802050054073334, 0.047831494361162186, -0.0026845503598451614, 0.05293828994035721, -0.012042373418807983, -0.10281245410442352, -0.0871153324842453, 0.20689058303833008, -0.14767536520957947, 0.053036682307720184, 0.009524062275886536, 0.02371656894683838, 0.0031910240650177, -0.030162610113620758, 0.022078275680541992, -0.04763346165418625, 0.1351376175880432, 0.10016690194606781, 0.10061235725879669, -0.10106760263442993, -0.05925087258219719, -0.07881944626569748, -0.036166563630104065, -0.09165351837873459, -0.16921398043632507, 0.023519553244113922, -0.18396508693695068, -0.26364457607269287, -0.00732523575425148, -0.030365094542503357, 0.06035039201378822, 0.04353216290473938, 0.07608076184988022, -0.08274915814399719, 0.018177077174186707, -0.05913791060447693, -0.03193944692611694, 0.023373577743768692, -0.18051497638225555, 0.08265528827905655, 0.18710650503635406, -0.10183382779359818, -0.019320517778396606, -0.00696096196770668, 0.012503585778176785, 0.04427880048751831, -0.17652961611747742, -0.09900181740522385, -0.1262092888355255]",[Web Programming],"[Front-end Developer, Full-stack Developer, Software Developer, UI Developer]"
Jenkins,"[0.0, 0.0, -0.26955413818359375, -0.26955413818359375, 0.0877058207988739, -0.19681482017040253, -0.0877058207988739, 0.0, -0.19681482017040253, -0.16044515371322632, 0.0, -0.04280635714530945, 0.10910899937152863, 0.10910899937152863, -0.10910899937152863, -0.12407548725605011, 0.0, -0.12407548725605011, -0.021403178572654724, -0.03636966273188591, 0.0, 0.03636966273188591, 0.1754116415977478, -0.05133615806698799, 0.23318447172641754, 0.10910899937152863, -0.0877058207988739, 0.09414251148700714, 0.0, 0.12407548725605011, -0.2631174921989441, -0.23318447172641754, -0.18184833228588104, 0.0, -0.05133615806698799, 0.12407548725605011, 0.19681482017040253, 0.12407548725605011, 0.23318447172641754, -0.1390419751405716, -0.0877058207988739, 0.12407548725605011, -0.14547865092754364, 0.26955413818359375, -0.12407548725605011, -0.05133615806698799, -0.1754116415977478, 0.1754116415977478, -0.03636966273188591, 0.0, 0.09414251148700714, 0.05133615806698799, -0.0877058207988739, -0.14547865092754364, -0.0877058207988739, -0.03636966273188591, 0.0877058207988739, 0.09414251148700714, 0.14547865092754364, 0.10910899937152863, 0.14547865092754364, 0.0877058207988739, 0.05777283012866974, 0.12407548725605011, -0.03636966273188591, -0.05133615806698799, 0.1390419751405716, -0.03636966273188591, -0.0877058207988739, 0.1754116415977478, 0.14547865092754364, -0.10910899937152863, 0.0, -0.35725998878479004, 0.05133615806698799, -0.0877058207988739, 0.0877058207988739, -0.10910899937152863, 0.0, 0.0877058207988739, -0.0877058207988739, 0.0, 0.0, -0.14547865092754364, 0.05777283012866974, -0.021403178572654724, 0.03636966273188591, -0.16044515371322632, -0.021403178572654724, -0.18184833228588104, 0.03636966273188591, -0.029932990670204163, -0.05133615806698799, 0.029932990670204163, -0.014966495335102081, 0.0877058207988739, 0.23318447172641754, 0.18184833228588104, 0.12407548725605011, 0.03636966273188591, 0.0877058207988739, -0.1754116415977478, 0.1754116415977478, 0.0877058207988739, -0.03636966273188591, 0.0, 0.0, 0.03636966273188591, 0.03636966273188591, 0.211781308054924, -0.05777283012866974, 0.03636966273188591, -0.00643669068813324, 0.014966495335102081, -0.05133615806698799, 0.05133615806698799, 0.03636966273188591, -0.05133615806698799, 0.0877058207988739, 0.0, -0.03636966273188591, 0.05133615806698799, 0.0, 0.12407548725605011, -0.05133615806698799, 0.05777283012866974, 0.0877058207988739, 0.23318447172641754]",[],[DevOps Engineer]
Linux,"[0.08147728443145752, -0.055929068475961685, 0.02697061002254486, -0.22513866424560547, -0.13461637496948242, -0.03072713315486908, -0.06918643414974213, 0.018946930766105652, 0.0692412406206131, -0.2555195093154907, -0.04637341946363449, -0.08818815648555756, -0.08346514403820038, -0.17017611861228943, 0.25079649686813354, -0.08534339815378189, 0.02890365943312645, -0.13456158339977264, 0.0516618974506855, -0.006601281464099884, -0.017524540424346924, 0.03891519457101822, -0.03601560741662979, -0.11845941841602325, 0.09006643295288086, -0.0910329520702362, 0.09575599431991577, -0.14832960069179535, 0.13131572306156158, -0.006601281464099884, -0.06730818748474121, 0.12460485845804214, -0.15976352989673615, 0.03038085252046585, -0.08477793633937836, 0.17734286189079285, -0.1986239105463028, 0.13990488648414612, -0.00472303107380867, 0.028958462178707123, 0.055418405681848526, -0.036471471190452576, 0.027025409042835236, -0.026970606297254562, -0.1687537133693695, 0.27446645498275757, -0.17114265263080597, 0.02503756433725357, -0.14172832667827606, 0.06867577135562897, 0.06019623577594757, -0.15834113955497742, 0.04836125299334526, -0.12699376046657562, -0.19475781917572021, 0.056840792298316956, 0.031182974576950073, -0.02179170772433281, -0.03703693300485611, -0.3502541780471802, 0.09052228182554245, 0.2639990448951721, 0.10002315044403076, -0.18150046467781067, -0.2502310276031494, -0.1569187492132187, -0.09478945285081863, -0.08534339815378189, -0.006145421415567398, 0.0677640438079834, -0.01746974140405655, 0.11236879229545593, -0.09621184319257736, 0.059740375727415085, -0.034192152321338654, 0.14076179265975952, 0.05160709470510483, -0.02981538325548172, 0.15595221519470215, -0.05689559876918793, -0.18053391575813293, -0.03743799775838852, 0.174899160861969, -0.10429033637046814, -0.06730818748474121, 0.07390947639942169, 0.022758234292268753, -0.3223170340061188, 0.12420378625392914, -0.171087846159935, 0.18480108678340912, 0.2744116485118866, 0.10235726833343506, 0.03652627393603325, 0.011889785528182983, 0.16824306547641754, 0.027025407180190086, -0.04358341917395592, -0.07726491242647171, 0.15122917294502258, 0.023669961839914322, 0.02179170772433281, 0.030326049774885178, 0.2801559865474701, -0.19765740633010864, -0.05023950710892677, -0.009901933372020721, 0.01325736939907074, 0.1408165991306305, 0.3474093973636627, 0.14980678260326385, 0.1531074345111847, -0.06070690229535103, -0.238450825214386, 0.04409408196806908, 0.16016460955142975, 0.02418062835931778, 0.019913457334041595, -0.17922112345695496, 0.17387783527374268, -0.005634762346744537, 0.07385466247797012, -0.09285639971494675, 0.0440392829477787, 0.04272649437189102, -0.1928795725107193, 0.22366148233413696, -0.07345360517501831]",[Operating System],[IT Support Analyst]
Machine Learning,"[0.07497751712799072, 0.0460551455616951, 0.09925378113985062, 0.02352701872587204, 0.1235736533999443, 0.037024494260549545, 0.10230715572834015, -0.010426171123981476, -0.11119784414768219, 0.222090482711792, 0.004693001043051481, 0.14009954035282135, 0.0732530802488327, -0.1206221953034401, 0.27761104702949524, 0.1285223513841629, -0.041041936725378036, -0.21011419594287872, 0.15322458744049072, -0.047695912420749664, 0.17873620986938477, -0.12948939204216003, -0.038512345403432846, 0.4507647752761841, 0.04855437949299812, 0.10245949774980545, 0.15526296198368073, -0.006947468034923077, 0.1864151805639267, 0.05356070399284363, 0.0816362053155899, 0.09299766272306442, -0.13753588497638702, -0.1765289455652237, 0.03919164091348648, 0.25088804960250854, -0.12776638567447662, 0.15342479944229126, 0.046564266085624695, -0.17493095993995667, -0.10979508608579636, -0.07739017903804779, -0.04671980068087578, 0.02633536607027054, 0.06825780868530273, -0.05128113925457001, 0.06229507550597191, -0.26961734890937805, 0.19471192359924316, 0.20768097043037415, 0.2990345060825348, 0.16563865542411804, 0.11418483406305313, 0.14095181226730347, -0.014790229499340057, -0.1721871793270111, -0.2672182321548462, 0.03218025714159012, 0.055554814636707306, -0.029108092188835144, 0.17533203959465027, 0.03510275483131409, 0.15869365632534027, -0.04592869430780411, 0.1865689605474472, -0.007963210344314575, 0.025355342775583267, -0.13594117760658264, 0.09104867279529572, -0.029452279210090637, -0.06190301477909088, -0.07000028342008591, 0.044401198625564575, -0.05131155624985695, -0.13133306801319122, -0.11224508285522461, -0.11519008129835129, -0.07339346408843994, -0.04105151817202568, 0.18591813743114471, 0.06938909739255905, 0.11260264366865158, -0.04814586415886879, -0.19952170550823212, 0.004202085547149181, 0.10755760967731476, -0.07320423424243927, -0.09528084099292755, -0.035791270434856415, 0.1721407175064087, -0.17505031824111938, -0.34941014647483826, -0.011546958237886429, -0.15337467193603516, -0.02364436164498329, 0.24671924114227295, 0.155681774020195, -0.22995346784591675, -0.00681437598541379, 0.0010085133835673332, 0.10464426130056381, -0.07662203907966614, -0.11296574026346207, -0.35611534118652344, -0.07595697045326233, -0.02104724943637848, -0.17740315198898315, -0.3284223973751068, 0.026559071615338326, -0.035784561187028885, 0.037952907383441925, 0.08351053297519684, 0.2526558041572571, 0.0136369988322258, 0.06552781164646149, 0.10880769044160843, 0.0907149463891983, 0.06434401124715805, 0.016882851719856262, 0.00004208460450172424, 0.06575330346822739, 0.2923041880130768, 0.2587553858757019, -0.08392728865146637, 0.06714390963315964, 0.006497673690319061, 0.025535739958286285, -0.0982147827744484]","[Artificial Intelligence Concepts, Machine Learning, Applied Data Science Programming, Special Topics on Intelligent Computation and Vision]","[Data Scientist, Machine Learning Engineer]"
Manual Testing,"[-0.11043152213096619, -0.11043152213096619, -0.2518528699874878, -0.2518528699874878, -0.1414213478565216, 0.1414213478565216, 0.0, 0.0, 0.2518528699874878, 0.11043152213096619, -0.03098982572555542, 0.11043152213096619, -0.11043152213096619, 0.2518528699874878, 0.0, 0.0, 0.0, 0.0, -0.03098982572555542, 0.1414213478565216, -0.1414213478565216, 0.1414213478565216, 0.0, -0.1414213478565216, 0.0, 0.0, 0.2518528699874878, 0.03098982572555542, -0.07944169640541077, -0.2518528699874878, 0.11043152213096619, 0.0, 0.0, 0.1414213478565216, 0.0, -0.1414213478565216, 0.03098982572555542, 0.0, -0.11043152213096619, 0.0, 0.11043152213096619, 0.07944169640541077, -0.1414213478565216, -0.11043152213096619, 0.0, 0.11043152213096619, -0.1414213478565216, 0.0, -0.11043152213096619, 0.0, -0.2518528699874878, 0.0, -0.22086304426193237, 0.11043152213096619, 0.11043152213096619, 0.11043152213096619, 0.2518528699874878, 0.0, 0.1414213478565216, 0.0, 0.11043152213096619, 0.0, -0.11043152213096619, -0.11043152213096619, 0.0, 0.0, 0.0, 0.2518528699874878, -0.11043152213096619, -0.11043152213096619, 0.11043152213096619, 0.0, -0.1414213478565216, -0.2518528699874878, 0.03098982572555542, -0.11043152213096619, 0.03098982572555542, -0.2518528699874878, 0.0, -0.11043152213096619, 0.11043152213096619, 0.11043152213096619, 0.03098982572555542, -0.1414213478565216, 0.0, 0.0, -0.1414213478565216, -0.11043152213096619, 0.0, 0.0, 0.0, -0.03098982572555542, 0.0, 0.11043152213096619, 0.0, -0.11043152213096619, 0.11043152213096619, -0.11043152213096619, 0.11043152213096619, -0.03098982572555542, -0.2518528699874878, 0.11043152213096619, -0.362284392118454, -0.1414213478565216, 0.0, 0.11043152213096619, -0.11043152213096619, 0.0, 0.11043152213096619, 0.1414213478565216, -0.1414213478565216, 0.0, -0.1414213478565216, 0.0, 0.1414213478565216, 0.2518528699874878, -0.11043152213096619, -0.11043152213096619, 0.2518528699874878, -0.362284392118454, 0.0, 0.1414213478565216, 0.2518528699874878, -0.11043152213096619, 0.0, 0.0, 0.03098982572555542, -0.1414213478565216]",[],[Software Tester]
Mobile Development,"[0.24493929743766785, -0.008368134498596191, -0.06961455941200256, 0.22443096339702606, -0.08050128072500229, -0.021239526569843292, -0.11672450602054596, 0.2737577259540558, 0.2456008493900299, 0.094231516122818, 0.10330765694379807, 0.0219010841101408, -0.02014855295419693, 0.13201001286506653, 0.007938706316053867, -0.3502200245857239, 0.08513219654560089, 0.16629503667354584, 0.07345626503229141, -0.2816964387893677, -0.1724463403224945, -0.017270172014832497, -0.1373024880886078, 0.04128359258174896, -0.03688480332493782, -0.002216823399066925, -0.044939592480659485, -0.02520887926220894, -0.16077041625976562, 0.05175246670842171, -0.09085408598184586, 0.03910161554813385, 0.0072771478444337845, -0.02520887926220894, -0.16100256145000458, -0.09174779057502747, 0.012871414422988892, 0.011675909161567688, -0.11341673135757446, -0.06256955116987228, -0.018953070044517517, 0.0508936271071434, 0.28831201791763306, 0.18730242550373077, -0.0072771478444337845, -0.072562575340271, 0.1030639261007309, -0.16894127428531647, -0.023224202916026115, 0.09578678011894226, -0.043082550168037415, -0.10746268928050995, 0.02014855295419693, -0.16077041625976562, -0.25185665488243103, 0.02159930020570755, 0.027622971683740616, -0.024779468774795532, -0.005954029504209757, 0.16967247426509857, 0.17046166956424713, -0.11100263893604279, 0.19127178192138672, 0.21136227250099182, 0.012639259919524193, -0.07358390092849731, -0.18127873539924622, -0.04735369607806206, -0.029839791357517242, 0.03688480332493782, -0.07653193175792694, 0.011675909161567688, -0.08917119354009628, -0.06101428344845772, 0.0, -0.01233748346567154, -0.17310790717601776, 0.018163874745368958, 0.026531996205449104, -0.15517616271972656, -0.0818244069814682, 0.12797102332115173, -0.2459026277065277, 0.1448233723640442, -0.015645265579223633, 0.11564513295888901, 0.10606993734836578, -0.07851660996675491, -0.011977700516581535, -0.13290371000766754, -0.03868379071354866, 0.06991633772850037, -0.1406218707561493, 0.06991633772850037, 0.14416182041168213, 0.009029686450958252, -0.035561684519052505, -0.08820784837007523, 0.058368053287267685, -0.14746960997581482, 0.01925484836101532, -0.006383441388607025, -0.09704025089740753, 0.0013231184566393495, 0.08777842670679092, -0.06058487296104431, 0.011675924062728882, 0.11967253684997559, 0.1031915619969368, 0.16937069594860077, 0.0981312245130539, -0.13796405494213104, -0.19547326862812042, -0.19061021506786346, 0.18743008375167847, 0.07960758358240128, 0.07808719575405121, 0.2880798876285553, -0.15493245422840118, -0.006383448839187622, -0.06948691606521606, 0.07497666776180267, 0.01925484836101532, 0.08490005135536194, -0.1899486482143402, 0.07960758358240128, 0.006615588441491127, 0.002216815948486328]","[Mobile Programming, Mobile Computing]",[Mobile App Developer]
