name,embedding,description,required_skills,recommended_classes
IT Helpdesk Support,"[-0.13067544996738434, -0.10781671106815338, -0.011731037870049477, -0.00526219978928566, -0.018023967742919922, -0.09824744611978531, 0.10540343821048737, -0.22875525057315826, -0.17820294201374054, -0.05986182764172554, 0.05753238871693611, 0.016733495518565178, 0.07504510879516602, 0.007935216650366783, 0.14119987189769745, 0.013800736516714096, -0.013197418302297592, 0.07331898808479309, -0.2453966736793518, 0.027174070477485657, 0.07918450981378555, 0.03458979353308678, -0.04105863347649574, -0.06305433064699173, -0.15439727902412415, 0.004399139434099197, 0.31104016304016113, -0.19243931770324707, -0.2241801917552948, 0.16371503472328186, 0.02561561018228531, 0.09824744611978531, -0.026998154819011688, -0.13680073618888855, 0.0551191121339798, 0.15871259570121765, -0.10531959682703018, 0.0457175150513649, 0.07858119159936905, -0.018459618091583252, 0.08505002409219742, 0.026998154819011688, -0.018199875950813293, 0.16793827712535858, 0.10118020325899124, 0.1346471905708313, -0.08858610689640045, -0.04373164847493172, 0.23876015841960907, 0.0020696986466646194, 0.2831789553165436, -0.07745838165283203, 0.02259901538491249, -0.15250350534915924, -0.04666440933942795, 0.0926416665315628, -0.11851701885461807, -0.07478536665439606, 0.1558636724948883, -0.1903696358203888, -0.1089395135641098, 0.016306072473526, -0.010180830955505371, -0.046061091125011444, -0.002932758769020438, -0.02760147675871849, -0.1246422678232193, 0.07081364095211029, -0.2335817813873291, -0.11998339742422104, -0.02285875752568245, -0.10178352147340775, -0.23306231200695038, 0.008798278868198395, -0.035536691546440125, 0.03286367654800415, 0.04425113648176193, 0.13231775164604187, 0.17320045828819275, 0.19796127080917358, -0.18010495603084564, -0.28024619817733765, -0.041318379342556, -0.1114448606967926, -0.15103711187839508, 0.1208464577794075, -0.19519618153572083, -0.18872733414173126, 0.08858610689640045, -0.05166686698794365, -0.04985691234469414, 0.025104373693466187, -0.046748243272304535, -0.0926416665315628, 0.008798278868198395, 0.13344056904315948, -0.011990781873464584, -0.15103711187839508, -0.013197418302297592, -0.008798278868198395, -0.23271873593330383, 0.03200061246752739, -0.047183893620967865, 0.3292400538921356, 0.140336811542511, -0.121449775993824, 0.06693398207426071, -0.12377922236919403, 0.05459962785243988, 0.2498878836631775, 0.10867977142333984, 0.19002605974674225, 0.0014663797337561846, 0.006728578358888626, -0.013800736516714096, -0.028288617730140686, -0.037782296538352966, -0.06978290528059006, 0.18579457700252533, -0.059258509427309036, 0.012937679886817932, -0.17389588057994843, 0.007935217581689358, 0.005865518935024738, -0.1196398138999939, 0.036919236183166504, 0.27257072925567627, -0.08004757016897202]",Provide IT support,"[Troubleshooting, Customer Service]","[Practical Work, Final Project, Internship]"
IT Procurement Analyst,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.16439899802207947, 0.0, 0.15249855816364288, 0.0, 0.15249855816364288, 0.0, 0.0, 0.15249855816364288, 0.0, -0.16439899802207947, -0.15249855816364288, 0.0, 0.0, 0.0, -0.16439899802207947, -0.16439899802207947, 0.0, 0.0, 0.0, -0.31689757108688354, 0.0, 0.31689757108688354, 0.0, 0.0, 0.15249855816364288, 0.0, 0.011900439858436584, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16439899802207947, -0.15249855816364288, -0.16439899802207947, -0.15249855816364288, -0.15249855816364288, -0.15249855816364288, 0.15249855816364288, 0.16439899802207947, 0.0, 0.0, -0.16439899802207947, 0.0, 0.011900439858436584, 0.31689757108688354, 0.0, 0.16439899802207947, 0.15249855816364288, 0.0, 0.15249855816364288, 0.0, 0.0, -0.15249855816364288, -0.16439899802207947, -0.16439899802207947, 0.15249855816364288, 0.15249855816364288, 0.0, 0.15249855816364288, 0.16439899802207947, 0.0, -0.15249855816364288, 0.0, 0.16439899802207947, 0.16439899802207947, 0.0, -0.16439899802207947, 0.0, -0.15249855816364288, 0.0, -0.15249855816364288, -0.31689757108688354, 0.15249855816364288, -0.16439899802207947, 0.0, 0.15249855816364288, 0.15249855816364288, 0.16439899802207947, 0.0, 0.0, 0.15249855816364288, -0.15249855816364288, 0.15249855816364288, 0.16439899802207947, -0.16439899802207947, 0.15249855816364288, -0.011900439858436584, 0.0, 0.0, 0.15249855816364288, 0.15249855816364288, 0.15249855816364288, 0.0, -0.16439899802207947, 0.0, 0.0, 0.0, 0.0, 0.15249855816364288, 0.0, -0.16439899802207947, -0.31689757108688354, 0.0, -0.16439899802207947, 0.16439899802207947, 0.0, -0.31689757108688354, 0.0, -0.011900439858436584, 0.0, 0.0, -0.16439899802207947, -0.15249855816364288, 0.0, -0.16439899802207947, 0.0, 0.0, 0.15249855816364288, -0.16439899802207947, -0.16439899802207947, 0.0, -0.15249855816364288]",Analyze IT procurement,[Procurement Analysis],[]
IT Procurement Coordinator,"[-0.16439899802207947, 0.0, 0.0, 0.0, 0.0, -0.1601281464099884, -0.16439899802207947, -0.16439899802207947, 0.0, 0.0, 0.16439899802207947, 0.0, 0.0, -0.1601281464099884, 0.16439899802207947, -0.1601281464099884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16439899802207947, 0.0, 0.0, -0.16439899802207947, 0.0, 0.0, 0.0, -0.0042708516120910645, 0.16439899802207947, 0.1601281464099884, 0.0, 0.16439899802207947, 0.0, 0.0, 0.0, 0.0, -0.0042708516120910645, 0.0, 0.0, 0.32452714443206787, 0.32452714443206787, 0.0, 0.32452714443206787, 0.0, -0.32452714443206787, 0.16439899802207947, 0.0042708516120910645, 0.1601281464099884, 0.0, -0.1601281464099884, 0.0, 0.0, -0.32452714443206787, 0.0, 0.0, 0.0, 0.0042708516120910645, -0.16439899802207947, -0.16439899802207947, 0.0, 0.1601281464099884, 0.1601281464099884, 0.1601281464099884, 0.0, 0.0, 0.16439899802207947, 0.0, -0.16439899802207947, 0.0, 0.1601281464099884, 0.1601281464099884, 0.0, 0.0, -0.1601281464099884, 0.0, 0.1601281464099884, 0.1601281464099884, 0.16439899802207947, 0.0, 0.0, -0.1601281464099884, 0.0, -0.1601281464099884, 0.0, 0.16439899802207947, 0.1601281464099884, 0.1601281464099884, 0.0, 0.0, -0.1601281464099884, 0.0, 0.0, 0.0, 0.32452714443206787, -0.0042708516120910645, 0.16439899802207947, -0.1601281464099884, 0.0, 0.0, 0.0, 0.0, -0.1601281464099884, -0.1601281464099884, 0.0, 0.0, 0.1601281464099884, 0.0, 0.0, 0.0, 0.0, -0.1601281464099884, 0.16439899802207947, 0.0, 0.0, 0.1601281464099884, 0.16439899802207947, 0.16439899802207947, 0.0, 0.0, -0.16439899802207947, 0.0, 0.0042708516120910645, -0.0042708516120910645, -0.16439899802207947, -0.0042708516120910645, -0.16439899802207947]",Coordinate IT procurement,[Procurement Coordination],[]
IT Procurement Manager,"[-0.060220204293727875, -0.02520231157541275, 0.1428571492433548, 0.0, -0.09033031016588211, 0.21567851305007935, 0.030110102146863937, -0.060220204293727875, 0.060220204293727875, 0.10014588385820389, -0.0476190485060215, -0.1981695592403412, 0.0, -0.1428571492433548, 0.0, 0.0, 0.1428571492433548, 0.0, 0.12044040858745575, 0.060220204293727875, 0.12044040858745575, -0.017508946359157562, -0.09033031016588211, 0.0, -0.15055051445960999, -0.09033031016588211, 0.07282136380672455, -0.21077071130275726, -0.004907786846160889, -0.030110102146863937, 0.05252683907747269, -0.060220204293727875, -0.09033031016588211, -0.1428571492433548, 0.0, 0.2331874668598175, 0.20307734608650208, -0.030110102146863937, -0.12044040858745575, 0.190476194024086, -0.095238097012043, -0.022416740655899048, 0.0, 0.1379493623971939, -0.060220204293727875, -0.17296725511550903, 0.12534819543361664, 0.15055051445960999, -0.012601155787706375, -0.004907786846160889, 0.17296725511550903, 0.0, 0.21567851305007935, 0.0, 0.190476194024086, 0.2408808171749115, -0.21077071130275726, 0.030110102146863937, 0.030110102146863937, -0.04271126165986061, 0.12044040858745575, -0.030110102146863937, 0.2506963908672333, -0.030110102146863937, 0.0476190485060215, 0.1428571492433548, 0.09033031016588211, 0.1932617723941803, -0.11274704337120056, 0.1379493623971939, -0.1428571492433548, 0.04271126165986061, -0.16805945336818695, 0.0, 0.0, -0.31091660261154175, 0.0, 0.07282136380672455, -0.0476190485060215, -0.12044040858745575, -0.12044040858745575, 0.31091660261154175, 0.09033031016588211, 0.07772915065288544, 0.17296725511550903, -0.055312417447566986, -0.10014588385820389, -0.095238097012043, 0.26329755783081055, -0.16315166652202606, 0.190476194024086, 0.07003578543663025, -0.12044040858745575, 0.0, -0.11274704337120056, -0.12044040858745575, 0.0476190485060215, 0.0, -0.1428571492433548, 0.0, 0.0476190485060215, -0.06791356205940247, 0.0, 0.0, 0.13304157555103302, -0.1379493623971939, 0.17296725511550903, -0.030110102146863937, 0.0, 0.030110102146863937, 0.12534819543361664, 0.1428571492433548, 0.09033031016588211, 0.0476190485060215, -0.15055051445960999, -0.1428571492433548, 0.05252683907747269, -0.017508946359157562, 0.21567851305007935, -0.07282136380672455, 0.09033031016588211, -0.030110102146863937, -0.190476194024086, 0.0, -0.09033031016588211, -0.190476194024086, 0.0, 0.18066062033176422]",Manage procurement,"[Procurement, Supply Chain]",[]
IT Procurement Specialist,"[0.05957554653286934, -0.21353691816329956, 0.04719291627407074, 0.0, -0.02978777326643467, 0.0247652605175972, 0.08936332166194916, -0.17872664332389832, 0.17872664332389832, 0.15898388624191284, -0.14157874882221222, -0.35009315609931946, 0.0, -0.04719291627407074, 0.0, 0.0, 0.04719291627407074, 0.0, 0.11915109306573868, -0.05957554653286934, 0.11915109306573868, -0.05221542716026306, -0.02978777326643467, 0.0, -0.20851440727710724, -0.02978777326643467, -0.02242765575647354, -0.1489388793706894, 0.124173603951931, -0.08936332166194916, 0.01740514300763607, 0.05957554653286934, -0.02978777326643467, -0.04719291627407074, 0.0, 0.07698068767786026, -0.0123826302587986, -0.08936332166194916, -0.11915109306573868, 0.18877166509628296, 0.09438583254814148, 0.07195817679166794, 0.0, 0.17136652767658234, 0.05957554653286934, -0.1365562379360199, -0.005022510886192322, 0.20851440727710724, 0.20115429162979126, 0.124173603951931, 0.1365562379360199, 0.0, 0.0247652605175972, 0.0, 0.18877166509628296, 0.23830218613147736, -0.1489388793706894, 0.08936332166194916, 0.08936332166194916, 0.1117909774184227, 0.11915109306573868, -0.08936332166194916, 0.12919612228870392, -0.08936332166194916, 0.14157874882221222, 0.04719291627407074, 0.02978777326643467, 0.09672343730926514, 0.04217040538787842, 0.17136652767658234, -0.04719291627407074, -0.1117909774184227, -0.2607298493385315, 0.0, 0.0, -0.30792275071144104, 0.0, -0.02242765575647354, -0.14157874882221222, -0.11915109306573868, -0.11915109306573868, 0.30792275071144104, 0.02978777326643467, 0.23094207048416138, 0.1365562379360199, -0.3029002547264099, -0.15898388624191284, 0.09438583254814148, 0.16634401679039001, -0.007360130548477173, 0.18877166509628296, 0.06962057203054428, -0.11915109306573868, 0.0, 0.04217040538787842, -0.11915109306573868, 0.14157874882221222, 0.0, -0.04719291627407074, 0.0, 0.14157874882221222, -0.10174596309661865, 0.0, 0.0, -0.08200320601463318, -0.17136652767658234, 0.1365562379360199, -0.08936332166194916, 0.0, 0.08936332166194916, -0.005022510886192322, 0.04719291627407074, 0.02978777326643467, 0.14157874882221222, -0.20851440727710724, -0.04719291627407074, 0.01740514300763607, -0.05221542716026306, 0.0247652605175972, 0.02242765575647354, 0.02978777326643467, -0.08936332166194916, -0.18877166509628296, 0.0, -0.02978777326643467, -0.18877166509628296, 0.0, 0.05957554653286934]",Procure IT resources,"[Procurement, Vendor Management]",[]
IT Project Coordinator,"[0.0, 0.0, 0.059374552220106125, -0.03387591987848282, -0.13987571001052856, -0.15262502431869507, 0.0, 0.04662523791193962, -0.10599979013204575, -0.03387591987848282, 0.2119995802640915, 0.04662523791193962, 0.0, -0.059374552220106125, -0.13987571001052856, -0.13987571001052856, 0.10599979013204575, -0.10599979013204575, 0.09325047582387924, 0.04662523791193962, 0.0, 0.0, 0.15262502431869507, -0.04662523791193962, -0.13987571001052856, -0.13987571001052856, -0.10599979013204575, 0.059374552220106125, 0.03387591987848282, 0.18650095164775848, -0.08050116151571274, -0.2458755075931549, 0.0, 0.2586248219013214, -0.18650095164775848, 0.0, -0.10599979013204575, -0.04662523791193962, 0.10599979013204575, 0.199250265955925, 0.13987571001052856, 0.0, 0.0, 0.0, 0.18650095164775848, -0.04662523791193962, -0.10599979013204575, -0.15262502431869507, 0.0, -0.03387591987848282, 0.0, -0.04662523791193962, -0.15262502431869507, 0.15262502431869507, 0.04662523791193962, 0.059374552220106125, 0.012749314308166504, -0.13987571001052856, -0.18650095164775848, 0.10599979013204575, 0.0, 0.2458755075931549, 0.03387591987848282, 0.0, 0.0, 0.10599979013204575, 0.15262502431869507, -0.15262502431869507, 0.0, -0.04662523791193962, 0.10599979013204575, 0.07212387025356293, -0.18650095164775848, 0.0, -0.10599979013204575, -0.10599979013204575, -0.03387591987848282, -0.13987571001052856, 0.0, 0.13987571001052856, 0.10599979013204575, 0.0, -0.04662523791193962, 0.15262502431869507, -0.18650095164775848, -0.35187530517578125, -0.2119995802640915, -0.04662523791193962, -0.10599979013204575, -0.199250265955925, 0.0, 0.2586248219013214, 0.0, -0.10599979013204575, 0.0, -0.13987571001052856, -0.04662523791193962, -0.13987571001052856, 0.15262502431869507, -0.2458755075931549, 0.15262502431869507, 0.0, -0.18650095164775848, 0.10599979013204575, 0.0, 0.10599979013204575, -0.10599979013204575, 0.0, 0.15262502431869507, 0.03387591987848282, 0.13987571001052856, 0.10599979013204575, -0.18650095164775848, 0.0, -0.08050116151571274, 0.059374552220106125, 0.10599979013204575, 0.08050116151571274, 0.15262502431869507, -0.10599979013204575, 0.35187530517578125, 0.2119995802640915, -0.04662523791193962, 0.10599979013204575, 0.10599979013204575, 0.04662523791193962, -0.2458755075931549, -0.04662523791193962]",Coordinate IT projects,[Project Coordination],[Underground Pre-Thesis]
IT Project Manager,"[0.07162720710039139, -0.07691726088523865, -0.10247383266687393, 0.0077944109216332436, -0.04053132236003876, -0.1911175549030304, -0.054780200123786926, 0.15873755514621735, 0.019038382917642593, 0.012627776712179184, 0.12012840807437897, 0.07761308550834656, -0.09584391117095947, 0.15680339932441711, -0.005240139085799456, -0.10502810776233673, 0.10753253102302551, -0.03654937818646431, -0.07614153623580933, 0.17023873329162598, -0.08366676419973373, -0.1274721920490265, -0.07006196677684784, -0.08791789412498474, -0.14278583228588104, -0.10960426181554794, -0.04308559000492096, -0.19913727045059204, -0.08573251217603683, 0.11240975558757782, 0.034352030605077744, 0.006773516535758972, -0.14826329052448273, 0.032248396426439285, -0.12226991355419159, -0.08693486452102661, -0.21718662977218628, -0.281996488571167, 0.07686734199523926, -0.006761530414223671, 0.24257376790046692, -0.061360277235507965, -0.09826657176017761, -0.04873250424861908, 0.19039171934127808, -0.14713068306446075, -0.21955347061157227, -0.17507809400558472, 0.0465790219604969, -0.03821434825658798, 0.013034550473093987, -0.10363830626010895, 0.04805654287338257, 0.20109732449054718, 0.20633746683597565, -0.16419102251529694, 0.06404614448547363, -0.10538502782583237, -0.012314721941947937, 0.08129994571208954, -0.005064673721790314, -0.14225344359874725, 0.09526167064905167, -0.16674529016017914, 0.0900215283036232, -0.027590490877628326, 0.31885290145874023, 0.04671061411499977, 0.19582532346248627, -0.014374487102031708, 0.030457813292741776, 0.1288679838180542, -0.1506679654121399, -0.2484021633863449, 0.005240139085799456, -0.16885492205619812, 0.12142448872327805, -0.16200566291809082, 0.056082263588905334, 0.11550838500261307, -0.20415209233760834, 0.0844244733452797, -0.29986441135406494, 0.040042802691459656, -0.2041899710893631, 0.0137922503054142, -0.12178140878677368, 0.06794634461402893, 0.09388384222984314, 0.059563711285591125, 0.018274689093232155, -0.15739762783050537, -0.23501069843769073, -0.048375584185123444, -0.09933733195066452, 0.048325732350349426, -0.13897934556007385, -0.13584284484386444, 0.2567788064479828, -0.047029655426740646, 0.11702977865934372, 0.06785861402750015, 0.18825623393058777, 0.010480278171598911, 0.13758954405784607, -0.18023648858070374, 0.034934259951114655, 0.16805335879325867, 0.06718265265226364, -0.0077944109216332436, -0.017467129975557327, -0.05366560071706772, -0.13682585954666138, 0.0591629222035408, -0.13621172308921814, -0.13938012719154358, 0.036148592829704285, 0.30904263257980347, 0.07529011368751526, -0.006091563031077385, 0.1262199878692627, 0.06911082565784454, -0.2969093322753906, 0.032611291855573654, -0.04541453719139099, 0.13705119490623474, 0.047875095158815384, -0.08012349158525467]",Manage projects,"[PMP, Agile, Project Management]","[Software Development Principles, Software Project Management, Capstone Project, Underground Pre-Thesis, Final Project]"
IT Quality Analyst,"[0.06288498640060425, -0.03319716453552246, -0.2218521237373352, -0.25504928827285767, 0.19040963053703308, 0.17293371260166168, -0.1135580763220787, 0.06463965773582458, 0.08036090433597565, 0.08036090433597565, -0.08036090433597565, -0.031442493200302124, -0.22009743750095367, 0.22009743750095367, -0.031442493200302124, 0.11180339753627777, 0.0, -0.11180339753627777, -0.07685154676437378, -0.11004871875047684, -0.029687806963920593, -0.2218521237373352, 0.0017546787858009338, -0.11004871875047684, 0.14149120450019836, 0.03319716453552246, -0.14149120450019836, 0.0, -0.11004871875047684, -0.19040963053703308, 0.0, -0.17468838393688202, -0.1432458907365799, 0.1432458907365799, 0.1432458907365799, 0.08036090433597565, -0.14149120450019836, 0.19040963053703308, 0.11004871875047684, 0.03319716453552246, 0.031442493200302124, -0.22360679507255554, -0.031442493200302124, -0.19040963053703308, 0.11180339753627777, -0.22360679507255554, -0.1432458907365799, 0.07860623300075531, -0.17468838393688202, 0.0, -0.08036090433597565, 0.11180339753627777, -0.11004871875047684, -0.03319716453552246, -0.07860623300075531, 0.2043761909008026, 0.0, 0.11004871875047684, -0.0017546787858009338, -0.12927931547164917, -0.03319716453552246, 0.0, 0.0, -0.04716373607516289, -0.08036090433597565, -0.031442493200302124, -0.25329458713531494, 0.25329458713531494, 0.031442493200302124, 0.0, -0.25329458713531494, -0.08036090433597565, 0.031442493200302124, 0.14149120450019836, -0.0017546787858009338, -0.11004871875047684, -0.1432458907365799, -0.11004871875047684, -0.08036090433597565, -0.11180339753627777, 0.031442493200302124, 0.11004871875047684, 0.0, 0.04891841113567352, 0.031442493200302124, 0.0, 0.15896713733673096, 0.19040963053703308, 0.2218521237373352, 0.0, -0.06288498640060425, 0.08036090433597565, 0.11004871875047684, -0.08036090433597565, -0.11004871875047684, -0.19040963053703308, -0.07860623300075531, 0.11004871875047684, -0.14149120450019836, -0.22009743750095367, 0.031442493200302124, -0.11180339753627777, 0.04891841113567352, 0.1432458907365799, -0.25329458713531494, -0.07860623300075531, -0.25329458713531494, 0.1432458907365799, -0.2218521237373352, 0.03319716453552246, 0.1432458907365799, 0.0, -0.11180339753627777, -0.07860623300075531, -0.0017546787858009338, 0.07860623300075531, 0.11004871875047684, 0.0, 0.11004871875047684, 0.07860623300075531, 0.06288498640060425, -0.14149120450019836, 0.0, 0.0, -0.2218521237373352, 0.19040963053703308, 0.031442493200302124, -0.14149120450019836]",Ensure software quality,"[QA, Testing]",[Software Quality]
IT Risk Analyst,"[0.22396257519721985, -0.10024158656597137, 0.09215808659791946, -0.1604822874069214, 0.1047309935092926, 0.027490103617310524, 0.009302234277129173, -0.07881410419940948, 0.012125246226787567, -0.14999234676361084, 0.18678469955921173, -0.2918701767921448, -0.08044943958520889, -0.016166994348168373, 0.0, 0.03355272859334946, -0.04407370090484619, 0.06951186805963516, -0.015364857390522957, -0.22107745707035065, -0.14392971992492676, -0.07477235049009323, -0.0012187361717224121, -0.02020874433219433, -0.10107478499412537, -0.10630419850349426, 0.01494826190173626, 0.2833700478076935, -0.060626234859228134, 0.11923158168792725, 0.07557448744773865, 0.18838895857334137, -0.006062622647732496, 0.1540030539035797, -0.2142748087644577, -0.1693989634513855, -0.02829224057495594, -0.04445923492312431, -0.10675186663866043, 0.015364857390522957, 0.09257468581199646, -0.10630419850349426, 0.035573601722717285, -0.11679412424564362, -0.13257557153701782, 0.1806599497795105, -0.07881410419940948, 0.1515655666589737, 0.07198040187358856, 0.17988887429237366, -0.006062623113393784, -0.05218826234340668, -0.027490103617310524, 0.012510783970355988, 0.1540030539035797, -0.10508546233177185, -0.1313568353652954, -0.10024158656597137, 0.02142748050391674, -0.12048137933015823, 0.3027766942977905, -0.1540030539035797, -0.14672169089317322, 0.0, -0.02829224243760109, -0.17459732294082642, -0.10508546233177185, -0.15242983400821686, 0.14146120846271515, -0.08850187063217163, -0.1588469296693802, -0.02829224057495594, -0.06344923377037048, -0.02142748050391674, -0.10752293467521667, 0.09905390441417694, -0.008083497174084187, -0.009302234277129173, -0.15121109783649445, 0.1079084724187851, -0.1527843177318573, 0.027073504403233528, 0.019406605511903763, 0.030729712918400764, -0.11599196493625641, 0.29591190814971924, -0.08850187063217163, -0.36138203740119934, -0.08487671613693237, 0.07881410419940948, -0.17587819695472717, 0.0796162411570549, -0.0658867135643959, -0.035573601722717285, -0.02020874433219433, 0.06344923377037048, -0.04526136815547943, 0.18268083035945892, 0.24494239687919617, -0.1232733279466629, 0.023448355495929718, -0.3444128930568695, 0.026271367445588112, 0.15807583928108215, -0.003594115376472473, -0.1928473263978958, 0.022229617461562157, 0.18556596338748932, -0.07518894970417023, -0.04808438941836357, 0.05177164822816849, 0.11477324366569519, 0.21421267092227936, 0.055782340466976166, 0.006062623113393784, 0.0, -0.0250526312738657, 0.17141984403133392, 0.3157040476799011, -0.09093935042619705, -0.2267855703830719, -0.1928473263978958, -0.01414612215012312, -0.11236683279275894, 0.04651116952300072, -0.00728136021643877, 0.12734614312648773, 0.1095438152551651]",Analyze IT risks,"[Compliance, Risk Assessment]","[Professional Ethics, IT Governance, System Audit]"
IT Sales Manager,"[0.0, -0.14240632951259613, -0.034780845046043396, 0.28954875469207764, -0.17646059393882751, 0.09196402132511139, 0.03678560629487038, -0.10562071949243546, -0.11108338832855225, 0.1471424251794815, 0.07083988189697266, 0.09196402132511139, 0.18392804265022278, -0.03678560629487038, -0.11308816075325012, 0.18392804265022278, 0.0, 0.03678560629487038, 0.16353046894073486, -0.11308816075325012, -0.10762548446655273, -0.0865013375878334, -0.31067290902137756, -0.32432958483695984, 0.12874962389469147, 0.0, 0.06883510947227478, -0.10562071949243546, -0.055178411304950714, 0.11308816075325012, -0.08995926380157471, -0.19758474826812744, 0.07156645506620407, 0.05044230818748474, 0.0, 0.10562071949243546, 0.12674486637115479, 0.07083988189697266, 0.055178411304950714, 0.14040154218673706, -0.09196402132511139, 0.12874962389469147, 0.08449657261371613, 0.1416797637939453, -0.14240632951259613, 0.12874962389469147, 0.10562071949243546, 0.02112414315342903, 0.0, -0.015661463141441345, -0.10562071949243546, -0.03678560629487038, 0.055178411304950714, 0.013656698167324066, -0.10562071949243546, 0.03678560629487038, -0.12601828575134277, -0.07156645506620407, 0.034780845046043396, -0.10562071949243546, 0.0, -0.034780845046043396, 0.03678560629487038, -0.12674486637115479, -0.09196402132511139, 0.0, 0.14786899089813232, -0.02112414315342903, 0.04425305128097534, -0.2050521820783615, -0.3399910628795624, -0.16079913079738617, -0.034780845046043396, 0.18392804265022278, -0.17646059393882751, -0.09196402132511139, -0.013656698167324066, 0.23437035083770752, 0.0, -0.055904969573020935, -0.19758474826812744, 0.09196402132511139, 0.03405426815152168, 0.10762548446655273, -0.09196402132511139, 0.034780845046043396, -0.09196402132511139, 0.19758474826812744, 0.10562071949243546, 0.07830732315778732, 0.2167041301727295, -0.21870888769626617, 0.0, -0.12674486637115479, 0.1846545934677124, -0.10762548446655273, -0.10562071949243546, 0.0, 0.0, -0.034780845046043396, 0.2112414389848709, 0.09196402132511139, -0.034780845046043396, 0.055178411304950714, 0.1498737633228302, 0.07284468412399292, -0.055178411304950714, -0.12674486637115479, 0.09196402132511139, 0.0, -0.14240632951259613, -0.02112414315342903, -0.09196402132511139, 0.1471424251794815, -0.19758474826812744, 0.12874962389469147, -0.11308816075325012, 0.04224828630685806, 0.034780845046043396, 0.0, 0.007467448711395264, 0.07083988189697266, -0.19758474826812744, -0.10562071949243546, 0.0, 0.11308816075325012, -0.10762548446655273, 0.03678560629487038]",Manage IT sales team,"[Sales, IT Sales]",[Technopreneurship]
IT Sales Representative,"[0.0, -0.14240632951259613, -0.034780845046043396, 0.28954875469207764, -0.17646059393882751, 0.09196402132511139, 0.03678560629487038, -0.10562071949243546, -0.11108338832855225, 0.1471424251794815, 0.07083988189697266, 0.09196402132511139, 0.18392804265022278, -0.03678560629487038, -0.11308816075325012, 0.18392804265022278, 0.0, 0.03678560629487038, 0.16353046894073486, -0.11308816075325012, -0.10762548446655273, -0.0865013375878334, -0.31067290902137756, -0.32432958483695984, 0.12874962389469147, 0.0, 0.06883510947227478, -0.10562071949243546, -0.055178411304950714, 0.11308816075325012, -0.08995926380157471, -0.19758474826812744, 0.07156645506620407, 0.05044230818748474, 0.0, 0.10562071949243546, 0.12674486637115479, 0.07083988189697266, 0.055178411304950714, 0.14040154218673706, -0.09196402132511139, 0.12874962389469147, 0.08449657261371613, 0.1416797637939453, -0.14240632951259613, 0.12874962389469147, 0.10562071949243546, 0.02112414315342903, 0.0, -0.015661463141441345, -0.10562071949243546, -0.03678560629487038, 0.055178411304950714, 0.013656698167324066, -0.10562071949243546, 0.03678560629487038, -0.12601828575134277, -0.07156645506620407, 0.034780845046043396, -0.10562071949243546, 0.0, -0.034780845046043396, 0.03678560629487038, -0.12674486637115479, -0.09196402132511139, 0.0, 0.14786899089813232, -0.02112414315342903, 0.04425305128097534, -0.2050521820783615, -0.3399910628795624, -0.16079913079738617, -0.034780845046043396, 0.18392804265022278, -0.17646059393882751, -0.09196402132511139, -0.013656698167324066, 0.23437035083770752, 0.0, -0.055904969573020935, -0.19758474826812744, 0.09196402132511139, 0.03405426815152168, 0.10762548446655273, -0.09196402132511139, 0.034780845046043396, -0.09196402132511139, 0.19758474826812744, 0.10562071949243546, 0.07830732315778732, 0.2167041301727295, -0.21870888769626617, 0.0, -0.12674486637115479, 0.1846545934677124, -0.10762548446655273, -0.10562071949243546, 0.0, 0.0, -0.034780845046043396, 0.2112414389848709, 0.09196402132511139, -0.034780845046043396, 0.055178411304950714, 0.1498737633228302, 0.07284468412399292, -0.055178411304950714, -0.12674486637115479, 0.09196402132511139, 0.0, -0.14240632951259613, -0.02112414315342903, -0.09196402132511139, 0.1471424251794815, -0.19758474826812744, 0.12874962389469147, -0.11308816075325012, 0.04224828630685806, 0.034780845046043396, 0.0, 0.007467448711395264, 0.07083988189697266, -0.19758474826812744, -0.10562071949243546, 0.0, 0.11308816075325012, -0.10762548446655273, 0.03678560629487038]",Sell IT solutions,"[Sales, IT Sales]",[Technopreneurship]
