name,embedding
Network Technology,"[0.37656673789024353, 0.287252277135849, 0.49759432673454285, 0.7833035588264465, 0.6456332802772522, -0.1930362433195114, 0.6514138579368591, -0.56840980052948, 0.2807685136795044, 0.5446208119392395, 0.007570263929665089, -0.7411682605743408, 0.13968488574028015, 0.6502357721328735, -0.0918843001127243, -0.14684805274009705, -0.1472449004650116, 0.22358518838882446, -0.748485267162323, 0.4530494511127472, -0.27320846915245056, -0.5272655487060547, -0.34104880690574646, -0.05621901899576187, -0.4498172998428345, -0.35925477743148804, 0.036474280059337616, -0.19805915653705597, -0.08672007918357849, 0.5463504791259766, 0.6737655401229858, 0.05072379112243652, 0.717742919921875, 0.23761813342571259, -0.6892779469490051, 0.10749302059412003, -0.6485487818717957, -0.03473641723394394, 0.4144740700721741, 0.43047359585762024, 0.6996418237686157, -0.4037635326385498, 0.020194491371512413, -0.4810005724430084, -0.2644977271556854, 0.01389144454151392, -0.6881042122840881, 0.3432178199291229, 0.7903702259063721, 0.011773829348385334, 0.32512927055358887, 0.030339613556861877, -0.0099865747615695, 0.6104198098182678, 0.12585653364658356, -0.5308914184570312, -0.5329917669296265, -0.03710055723786354, -0.22953976690769196, -0.43675944209098816, -0.3571360111236572, 0.38707584142684937, 0.24474069476127625, 0.38237836956977844]"
Multivariate Data Analysis,"[0.4518197774887085, -0.08861459791660309, -0.575294554233551, -0.2707153856754303, 0.49645623564720154, -0.24499353766441345, 0.8836802244186401, -0.509414553642273, -0.049383826553821564, 0.2647387683391571, -0.44671332836151123, 0.35060009360313416, 0.5307026505470276, -0.21635055541992188, 0.1471184939146042, 0.1457892507314682, -0.33487290143966675, -0.36600935459136963, -0.41995158791542053, 0.4806095063686371, 0.20423386991024017, -0.4701246917247772, 0.4566025137901306, -0.2913947105407715, 0.36994171142578125, -0.17606820166110992, 0.3231865465641022, 0.25376060605049133, -0.2231515645980835, 0.45107829570770264, 0.03754633292555809, 0.23764587938785553, 0.26614344120025635, -0.19003859162330627, 0.45942777395248413, 0.5408270955085754, -0.6650992035865784, -0.16607248783111572, 0.4435383677482605, -0.21877092123031616, 0.30368471145629883, 0.06349706649780273, 0.5002711415290833, -0.47855642437934875, -0.4194912910461426, -0.18560467660427094, -0.012651897966861725, -0.4785810112953186, 0.2354917973279953, 0.13635288178920746, -0.11404458433389664, -0.4642487168312073, -0.20238225162029266, 0.022509606555104256, -0.12501686811447144, -0.47433191537857056, -0.3285328447818756, 0.12174391746520996, -0.06160220876336098, -0.09379775077104568, 0.19025202095508575, 0.7456334829330444, -0.563277542591095, 0.3898409903049469]"
Software Architecture,"[0.7051195502281189, 0.3735131323337555, 0.4912293553352356, 0.1728789061307907, 0.13013781607151031, 0.0510357990860939, 1.183936595916748, 0.5941694378852844, -0.5243751406669617, 0.9454329013824463, -0.5294314026832581, -0.4516250789165497, 0.4252908229827881, 0.38179680705070496, -0.3492926061153412, 0.007115659769624472, 0.09669703990221024, 0.46632617712020874, -0.32559525966644287, 0.7779976725578308, -0.0754043459892273, -0.5656366944313049, 0.32810190320014954, 0.15634045004844666, -0.527777910232544, 0.0035512843169271946, -0.39464932680130005, 0.23320072889328003, 0.12028507143259048, 0.422945111989975, 0.022112956270575523, 0.47531259059906006, 0.8082035183906555, 0.5753557085990906, -0.8354209065437317, -0.287369042634964, -0.36540424823760986, -0.020746445283293724, 0.6335591673851013, 0.005429181270301342, 0.13199347257614136, 0.3565410077571869, -0.09473225474357605, 0.13642287254333496, -0.2327643632888794, 0.1954079568386078, -0.31769683957099915, -0.3126189708709717, 0.7786602973937988, -0.08306422084569931, 0.06463179737329483, -0.06022291257977486, 0.1534457802772522, 0.3178102672100067, -0.3630273938179016, -0.3059762716293335, -0.3185020387172699, -0.6844320893287659, -0.4604739844799042, -0.30628544092178345, 0.08636222034692764, 0.5815263986587524, 0.23755048215389252, 0.11901910603046417]"
Big Data,"[0.45936906337738037, -0.109702467918396, -0.19516533613204956, 0.032890286296606064, 0.2144245207309723, -0.08784404397010803, 1.1516450643539429, -0.5872383713722229, -0.3637699782848358, 0.24239115417003632, -0.19016620516777039, 0.29971423745155334, 0.5202240943908691, -0.36689862608909607, -0.08817972987890244, 0.10762597620487213, -0.3546459376811981, -0.18615318834781647, -0.4453674256801605, 0.5624956488609314, 0.032279301434755325, -0.406131386756897, 0.5433211326599121, -0.07617536187171936, 0.3048897981643677, -0.37581461668014526, 0.3080311715602875, 0.118108369410038, -0.24646183848381042, 0.7155100703239441, 0.11525793373584747, -0.06296995282173157, 0.2019032984972, -0.060628823935985565, 0.22755217552185059, 0.4464564025402069, -0.2944693863391876, 0.12197660654783249, 0.4018411636352539, -0.1947181522846222, 0.29329684376716614, 0.07747316360473633, 0.5644417405128479, -0.43310731649398804, -0.3154613673686981, -0.05833268165588379, -0.10487210750579834, -0.39716392755508423, 0.024668453261256218, 0.035805702209472656, -0.22986406087875366, -0.5149844884872437, -0.164862722158432, -0.15202999114990234, -0.24391743540763855, -0.35691291093826294, -0.05911856144666672, 0.11758406460285187, -0.26346176862716675, -0.45069342851638794, 0.18571224808692932, 0.6799721717834473, -1.0626872777938843, 0.19389061629772186]"
Software Evolution,"[0.6381862163543701, 0.4019198715686798, -0.11703409999608994, 0.29791760444641113, 0.24312998354434967, -0.028900928795337677, -0.03970177099108696, 0.3096431791782379, -0.44934582710266113, 0.7363601326942444, -0.3464386463165283, -0.18775030970573425, 0.5909219980239868, 0.009431748650968075, -0.49200597405433655, 0.41610243916511536, -0.015546342357993126, 0.5476993322372437, -1.0594840049743652, 0.36275890469551086, 0.2779456675052643, -0.5593279600143433, 0.9675847291946411, 0.06390883773565292, -0.018148139119148254, 0.1311926692724228, 0.25077664852142334, 0.19572052359580994, -0.42071035504341125, 0.15018059313297272, 0.34204453229904175, 0.06623230129480362, -0.2416648119688034, 0.6387253403663635, -0.44892075657844543, 0.733493447303772, -0.0851639062166214, -0.7187677621841431, 0.35879966616630554, 0.16936734318733215, -0.19071131944656372, -0.18325768411159515, 0.13008354604244232, -0.16252437233924866, -0.06303535401821136, -0.04252712428569794, -0.48717841506004333, -0.8271927237510681, 0.015126656740903854, -0.024025559425354004, 0.15178044140338898, 0.1339443475008011, 0.5286399722099304, 0.12482261657714844, -0.06545153260231018, -0.11937693506479263, -0.3736126720905304, 0.04117181897163391, -0.7311058044433594, 0.060801614075899124, 0.3500688076019287, 0.2830815613269806, -0.4008437991142273, 0.4849236309528351]"
Digital Forensic,"[0.36878255009651184, -0.01689107157289982, -0.5722337365150452, 0.4011445641517639, 0.2396557331085205, -0.6370273232460022, 0.775077760219574, -0.682938814163208, 0.16097910702228546, 0.3368455171585083, -0.7091934084892273, -0.49571603536605835, 0.28173765540122986, -0.24212265014648438, -0.016897201538085938, 0.014024107716977596, -0.07985039055347443, -0.46311143040657043, -0.2749768793582916, 0.6039792895317078, 0.48511770367622375, 0.04229937493801117, 0.02708834409713745, -0.10449685156345367, 0.6546190977096558, -0.09244520962238312, 0.055278532207012177, -0.11885709315538406, -0.11243177205324173, 0.6715826988220215, 0.02708720974624157, 0.35600095987319946, 0.5015084743499756, 0.4112873077392578, 0.1579236388206482, 0.2140876054763794, -0.6735624670982361, -0.6256791353225708, 0.003518856130540371, -0.5267987251281738, 0.12656347453594208, 0.005879110191017389, 0.34491702914237976, -0.5415250062942505, -0.6453474760055542, -0.32947155833244324, 0.01672469452023506, -0.5330595970153809, 0.5184961557388306, -0.09310757368803024, -0.6053286194801331, -0.34023383259773254, -0.2699952721595764, -0.050141021609306335, -0.2103009670972824, -0.5347188711166382, -0.04846744239330292, -0.1615166813135147, -0.07343041151762009, -0.3728799521923065, -0.27430155873298645, 0.549481987953186, -0.6058032512664795, 0.4148632287979126]"
Smart Game,"[0.6716225147247314, 0.18928776681423187, 0.2352648824453354, -0.18151326477527618, 0.346355676651001, 0.1053079292178154, 0.9533883333206177, 0.3522002100944519, -0.43631917238235474, 0.6263195872306824, -0.6137871146202087, 0.11960040777921677, 0.23001410067081451, 0.1831708401441574, -0.032419539988040924, 0.10878150910139084, -0.1936555653810501, 0.3814980685710907, -0.4917251765727997, 0.3618485927581787, 0.013697922229766846, -0.6180884838104248, 0.7523704171180725, 0.2678017020225525, -0.22744065523147583, 0.15978354215621948, -0.02169257588684559, 0.4717840254306793, -0.2564747631549835, 0.4237024188041687, -0.012656296603381634, 0.34415149688720703, 0.11621813476085663, 0.40740713477134705, -0.3422728180885315, 0.3737561106681824, -0.42495858669281006, -0.49174168705940247, 0.2344040423631668, 0.06730171293020248, 0.21729442477226257, 0.2834397554397583, 0.06576079875230789, -0.07703310251235962, -0.11830302327871323, -0.2994995713233948, -0.0578007847070694, -0.2817702293395996, 0.39084896445274353, 0.4571586847305298, 0.2273905724287033, -0.062639981508255, -0.09141743183135986, 0.18024422228336334, -0.24987849593162537, -0.3155762553215027, -0.4758414328098297, -0.07483568787574768, -0.6409826874732971, -0.26116809248924255, 0.4209508001804352, 0.7834510207176208, -0.12344779819250107, 0.5767759084701538]"
Cloud Computing,"[0.3552311956882477, -0.3144241273403168, 0.47064122557640076, 0.8465508818626404, 0.4969615936279297, -0.5033767819404602, 0.7282860279083252, -0.37577271461486816, 0.5310140252113342, -0.2590196430683136, -0.18162328004837036, -0.9925192594528198, 0.10106704384088516, 0.6189864277839661, -0.2113599330186844, -0.15256795287132263, 0.5488482117652893, 0.3892265260219574, -0.2527558207511902, 0.5590411424636841, -0.44503507018089294, -0.28740546107292175, -0.49038076400756836, -0.048702213913202286, -0.05002975836396217, -0.3746579885482788, -0.31604909896850586, -0.5329028964042664, -0.5913211107254028, 0.614345371723175, 0.2724549472332001, 0.09467113018035889, 0.5572890639305115, -0.04788155481219292, -0.9797775149345398, 0.7504523396492004, -0.4879288375377655, 0.4268292784690857, 0.22947144508361816, 0.4367203712463379, 0.33768755197525024, -0.4291050136089325, 0.11728609353303909, -0.7238081693649292, -0.42058825492858887, 0.341690331697464, -0.4906100928783417, 0.2651730179786682, 1.1958274841308594, -0.1443299502134323, -0.09170574694871902, 0.19184613227844238, -0.48941007256507874, 0.31015366315841675, 0.11552221328020096, -0.9499289393424988, -0.09790080040693283, 0.20956319570541382, -0.35518473386764526, -0.32825884222984314, -0.061645183712244034, 0.4920634925365448, 0.42723336815834045, 0.46297988295555115]"
Quantum Computing,"[-0.0037236930802464485, 0.0009053538669832051, -0.0024335680063813925, 0.002092626178637147, -0.006259167566895485, 0.006897433660924435, -0.0005034289206378162, -0.001978090964257717, 0.0072425841353833675, 0.00441944133490324, -0.0032921081874519587, -0.003063695505261421, -0.00485787820070982, 0.006512407213449478, 0.007087000645697117, 0.00399712473154068, -0.0005796459736302495, 0.006491160020232201, -0.0003516259021125734, 0.0015466476324945688, -0.0031362008303403854, -0.0049272580072283745, 0.001718631712719798, 0.0004634055949281901, 0.002112810732796788, 0.004788088146597147, -0.0058498079888522625, 0.0023354056756943464, 0.0005094049265608191, -0.007777582388371229, -0.004951117094606161, 0.007558806333690882, 0.00665315194055438, -0.0021435366943478584, -0.003385561518371105, 0.006791949272155762, -0.0006382213905453682, 0.0026050140149891376, 0.006561120040714741, 0.006552203092724085, 0.0034627693239599466, -0.00480377022176981, -0.004167127422988415, 0.0016357562271878123, 0.0016382434405386448, 0.006554855033755302, 0.005453541874885559, -0.004406620282679796, -0.006467154249548912, 0.0063447607681155205, 0.0017326727975159883, -0.0017918364610522985, -0.00048680821782909334, -0.0009587949025444686, -0.006193673238158226, 0.005169422831386328, -0.007787336129695177, -0.003909162245690823, 0.0031301677227020264, -0.006954716984182596, 0.005307002458721399, -0.004372262395918369, -0.002066207816824317, 0.00472493888810277]"
Internship,"[0.21102285385131836, -0.04363575577735901, -0.11916112154722214, 0.46029719710350037, 0.9191576242446899, -0.0046964408829808235, 0.5101492404937744, -0.6724716424942017, -0.03148801624774933, 0.3391624391078949, -0.09675134718418121, 0.34830135107040405, 0.33548274636268616, -0.21884196996688843, -0.14335446059703827, 0.2555181384086609, -0.3163580298423767, -0.47593027353286743, -0.674426794052124, 0.5662981867790222, -0.38543638586997986, -1.0843110084533691, 0.1508905440568924, -0.6877463459968567, 0.12023229151964188, -0.26819583773612976, 0.6049081087112427, -0.09740741550922394, -0.6056735515594482, 0.7105329632759094, 0.3510792553424835, 0.14079025387763977, 0.6529260873794556, -0.12697754800319672, 0.09198002517223358, 0.11213769763708115, -0.5789921283721924, 0.16401949524879456, 0.6846404075622559, 0.2336098998785019, 0.44819027185440063, -0.11183320730924606, 0.20224642753601074, -0.0049881525337696075, -0.5363633632659912, 0.33180877566337585, -0.7894700169563293, -0.4178312122821808, 0.34286195039749146, -0.4020102322101593, -0.7042539119720459, -0.3316947817802429, 0.21667949855327606, 0.10017412155866623, 0.05206470564007759, -0.3309743106365204, 0.07555638998746872, -0.40766021609306335, 0.42633911967277527, 0.2778870165348053, -0.18878380954265594, 0.3024374544620514, -0.4074307084083557, 0.7029765248298645]"
Applied Data Science Programming,"[0.49296629428863525, -0.11094805598258972, -0.35793519020080566, -0.3280561566352844, 0.4097682535648346, -0.12372610718011856, 1.1031746864318848, -0.33157312870025635, -0.09473388642072678, 0.180556982755661, -0.5231913328170776, 0.2552982568740845, 0.3640364408493042, -0.10779625922441483, 0.29620474576950073, 0.00826234370470047, -0.30489760637283325, -0.20919807255268097, -0.23122407495975494, 0.4623316526412964, 0.16930049657821655, -0.48060092329978943, 0.44076311588287354, -0.03558880463242531, 0.34062451124191284, -0.1880069524049759, 0.17699460685253143, 0.25806358456611633, -0.19061048328876495, 0.49916160106658936, -0.07891760766506195, 0.3342380225658417, 0.33935773372650146, -0.06968412548303604, 0.31911808252334595, 0.47128865122795105, -0.7016355395317078, -0.23394402861595154, 0.19310249388217926, -0.27360010147094727, 0.37112459540367126, 0.1757771074771881, 0.3909915089607239, -0.39235249161720276, -0.44009876251220703, -0.2821200489997864, 0.11605305969715118, -0.2681765854358673, 0.3233700692653656, 0.42713719606399536, -0.04721674695611, -0.3834329843521118, -0.37734854221343994, -0.025920940563082695, -0.2387993484735489, -0.5417245626449585, -0.345388799905777, 0.13570360839366913, -0.25996291637420654, -0.25372394919395447, 0.22939299046993256, 0.8724322319030762, -0.43649110198020935, 0.42210453748703003]"
Signal Processing,"[0.39604315161705017, -0.07274647802114487, -0.48503538966178894, -0.15574339032173157, 0.376769483089447, -0.297695517539978, 0.9186176657676697, -0.5358850955963135, -0.07795682549476624, 0.2718227505683899, -0.4458691477775574, 0.2143961638212204, 0.48520931601524353, -0.2486114501953125, 0.021702880039811134, 0.12694987654685974, -0.2981741428375244, -0.3004530966281891, -0.39123326539993286, 0.44555768370628357, 0.16984732449054718, -0.30857908725738525, 0.40340110659599304, -0.2252921760082245, 0.30971112847328186, -0.10206722468137741, 0.29846715927124023, 0.24451462924480438, -0.11537984758615494, 0.48866787552833557, 0.06442639976739883, 0.16170573234558105, 0.17970013618469238, -0.10521475970745087, 0.4294664263725281, 0.42750445008277893, -0.5785432457923889, -0.17525553703308105, 0.36987847089767456, -0.2772386968135834, 0.2575063705444336, 0.17010830342769623, 0.5500173568725586, -0.5149300694465637, -0.3898182213306427, -0.24619391560554504, 0.03616724908351898, -0.44797059893608093, 0.15763893723487854, -0.0005184555775485933, -0.24676980078220367, -0.4806640148162842, -0.17600642144680023, 0.02319956198334694, -0.14633648097515106, -0.3792142868041992, -0.21611230075359344, 0.15261760354042053, -0.055045921355485916, -0.16319094598293304, 0.09800637513399124, 0.6454806327819824, -0.6868537664413452, 0.3069904148578644]"
X Reality,"[0.7913379073143005, 0.09730652719736099, 0.16415457427501678, -0.06999865919351578, 0.22973889112472534, -0.14740131795406342, 0.8656381964683533, 0.6205980181694031, -0.009288415312767029, -0.12189539521932602, -0.23979045450687408, -0.39140620827674866, 1.1905126571655273, -0.20313146710395813, -0.21009182929992676, 0.0316089391708374, 0.04715326055884361, 0.24613729119300842, 0.06899142265319824, 0.6990684270858765, 0.1561318337917328, -1.2313910722732544, 0.6542912721633911, -0.3466956913471222, -0.13761892914772034, -0.0005153572419658303, 0.6656609177589417, 0.44097721576690674, 0.23442058265209198, 0.28499260544776917, -0.14019520580768585, 0.33583953976631165, -0.008953852578997612, 0.5354864597320557, -0.5923897624015808, -0.3299526274204254, -0.5985404253005981, -0.050697337836027145, 0.22144336998462677, 0.2530052363872528, 0.221088245511055, 0.09055556356906891, -0.10559574514627457, -0.7801860570907593, -0.7401961088180542, 0.15509137511253357, -0.5962530374526978, -0.05622668191790581, -0.008161104284226894, 0.31090056896209717, -0.12526246905326843, 0.45846232771873474, 0.12899529933929443, 0.42754679918289185, 0.3625674545764923, -0.23183289170265198, -0.21763557195663452, 0.3241526186466217, -0.7270005941390991, 0.051871974021196365, 0.6778659224510193, 0.07413317263126373, 0.20387284457683563, 0.3125225603580475]"
Robotics,"[0.6337961554527283, 0.14617270231246948, 0.2458227425813675, -0.34197789430618286, 0.32659250497817993, 0.16172756254673004, 0.8780233860015869, 0.46797388792037964, -0.37558192014694214, 0.4274185597896576, -0.5376468896865845, 0.16621819138526917, 0.2610386610031128, 0.12093997746706009, 0.06391668319702148, 0.10316863656044006, -0.16890308260917664, 0.33545616269111633, -0.34421393275260925, 0.3234451413154602, 0.015231557190418243, -0.6999504566192627, 0.782881498336792, 0.22067870199680328, -0.16972030699253082, 0.16536188125610352, 0.0964999571442604, 0.501494288444519, -0.20066320896148682, 0.32331109046936035, -0.08880292624235153, 0.34116584062576294, 0.12697751820087433, 0.3368143141269684, -0.2657111883163452, 0.31170710921287537, -0.45169147849082947, -0.43241629004478455, 0.1634557694196701, 0.08001930266618729, 0.21933159232139587, 0.3146789073944092, 0.04505255073308945, -0.08955351263284683, -0.15954846143722534, -0.25236067175865173, 0.027807043865323067, -0.18083566427230835, 0.28830400109291077, 0.5319617390632629, 0.24029822647571564, -0.025371698662638664, -0.11488187313079834, 0.11176154017448425, -0.1832093447446823, -0.24363264441490173, -0.4221790134906769, 0.0013350406661629677, -0.6020233035087585, -0.1734873652458191, 0.5183243155479431, 0.7111035585403442, -0.0025264022406190634, 0.5294644832611084]"
Object Oriented Simulation,"[0.504599928855896, 0.34232476353645325, 0.3339936435222626, 0.1476428508758545, 0.08733866363763809, 0.037667736411094666, 0.9670138955116272, 0.4554864466190338, -0.43065306544303894, 0.673245906829834, -0.4302387535572052, -0.3593333959579468, 0.18798549473285675, 0.3853655755519867, -0.21826787292957306, -0.01675945520401001, 0.18640458583831787, 0.38552653789520264, -0.17845521867275238, 0.7333508729934692, -0.04862431064248085, -0.41324442625045776, 0.13205084204673767, 0.12438563257455826, -0.43494680523872375, -0.16600945591926575, -0.4333268105983734, 0.06105218455195427, 0.05111517757177353, 0.42999911308288574, -0.015602745115756989, 0.4628556966781616, 0.7711202502250671, 0.4206942021846771, -0.662519633769989, -0.25091105699539185, -0.2888595461845398, 0.08439134061336517, 0.4820285439491272, -0.07082919776439667, 0.05434967204928398, 0.2606353759765625, -0.10823089629411697, 0.19759857654571533, -0.2842329442501068, 0.24425287544727325, -0.27800026535987854, -0.3108747899532318, 0.6755150556564331, -0.13805221021175385, -0.11487377434968948, -0.12306375801563263, 0.060026902705430984, 0.16751135885715485, -0.4073568880558014, -0.3058962821960449, -0.17305396497249603, -0.640225350856781, -0.28756898641586304, -0.3086286187171936, 0.0007493781158700585, 0.5119362473487854, 0.16903796792030334, -0.004189651925116777]"
IoT Technology,"[0.3060000538825989, -0.030078070238232613, 0.4795044958591461, 0.6994428038597107, 0.4973219037055969, -0.2861683964729309, 0.563835859298706, -0.35910406708717346, 0.4130505323410034, 0.0974065363407135, -0.08058185130357742, -0.8049243092536926, 0.13427525758743286, 0.6141628623008728, -0.16409456729888916, -0.12305150181055069, 0.19390180706977844, 0.317950963973999, -0.43854302167892456, 0.41653040051460266, -0.3311331570148468, -0.33857113122940063, -0.3530137836933136, -0.006616192404180765, -0.22327618300914764, -0.2976169288158417, -0.12373809516429901, -0.29399627447128296, -0.2976939082145691, 0.49437299370765686, 0.40931451320648193, 0.03538208827376366, 0.5382242202758789, 0.05542232468724251, -0.7816166877746582, 0.43125173449516296, -0.48419779539108276, 0.20666159689426422, 0.23549379408359528, 0.4622582495212555, 0.4741502106189728, -0.3341805934906006, 0.051531996577978134, -0.5880275964736938, -0.2795086205005646, 0.13233736157417297, -0.5132976174354553, 0.2937402129173279, 0.9201968908309937, -0.0919298604130745, 0.12141142040491104, 0.12799498438835144, -0.2535843551158905, 0.45151233673095703, 0.10016442090272903, -0.6672213077545166, -0.2642165422439575, 0.09683249145746231, -0.2754169702529907, -0.32369497418403625, -0.18998803198337555, 0.3595777750015259, 0.3855050802230835, 0.40046417713165283]"
Special Topics on Algorithm and Programming,"[0.5078160166740417, 0.2513500452041626, 0.09365686029195786, 0.07696080207824707, 0.24233564734458923, -0.06885980814695358, 0.18144609034061432, 0.26398688554763794, -0.30784711241722107, 0.6870346665382385, -0.44847026467323303, -0.004292607307434082, 0.3456355929374695, 0.12176274508237839, -0.45182663202285767, 0.27060452103614807, 0.016057176515460014, 0.3120756149291992, -0.7337454557418823, 0.2794896364212036, 0.09263121336698532, -0.4854253828525543, 0.772014856338501, 0.05981466919183731, -0.23920227587223053, 0.45452338457107544, 0.23823238909244537, 0.4535405933856964, -0.28337347507476807, 0.12171580642461777, 0.13667264580726624, 0.055278606712818146, -0.07450452446937561, 0.5889732837677002, -0.32295355200767517, 0.30421891808509827, -0.07263270020484924, -0.44283396005630493, 0.39714017510414124, 0.18351168930530548, -0.09175802767276764, 0.03166470676660538, 0.13204693794250488, 0.00421020295470953, 0.13770201802253723, -0.10823015123605728, -0.20403902232646942, -0.5530638694763184, 0.14058582484722137, -0.06440209597349167, -0.06218096613883972, 0.09268106520175934, 0.48362019658088684, 0.11788321286439896, -0.07600945234298706, 0.014320356771349907, -0.20947305858135223, -0.08720912039279938, -0.48496225476264954, 0.09545067697763443, 0.4086762070655823, 0.32352250814437866, -0.24797303974628448, 0.3520134389400482]"
Special Topics on Computer Architecture and Networks,"[0.45293670892715454, 0.27082139253616333, 0.5522127747535706, 0.3945285975933075, 0.33542492985725403, -0.0849984735250473, 0.7423286437988281, 0.04693198576569557, 0.0030022587161511183, 0.7318991422653198, -0.2816118001937866, -0.6242440342903137, 0.2428859919309616, 0.5699376463890076, -0.24368180334568024, -0.08559932559728622, -0.03743754327297211, 0.3786042034626007, -0.5223411321640015, 0.40056636929512024, -0.28421616554260254, -0.3909269869327545, -0.04708721861243248, 0.12181349098682404, -0.461093544960022, -0.04261980950832367, -0.18382734060287476, 0.0719338059425354, 0.04266519472002983, 0.33953043818473816, 0.3463757038116455, 0.19751188158988953, 0.5476279854774475, 0.32828640937805176, -0.785443127155304, -0.0474947988986969, -0.41666343808174133, 0.048796918243169785, 0.4836394786834717, 0.35858845710754395, 0.40262141823768616, 0.019433794543147087, -0.10349786281585693, -0.1941007822751999, -0.0677717849612236, -0.010037063620984554, -0.39475247263908386, 0.07055285573005676, 0.7694379091262817, -0.07177654653787613, 0.3048335909843445, 0.07478508353233337, -0.007984678260982037, 0.5209962725639343, -0.03978214040398598, -0.38239234685897827, -0.4517538845539093, -0.2952415943145752, -0.2909185588359833, -0.35985079407691956, -0.12015998363494873, 0.3515188992023468, 0.3991157114505768, 0.30270588397979736]"
"Special Topics on Graphics, Interaction and Game","[0.6880947351455688, 0.17157772183418274, 0.3050794005393982, -0.23836003243923187, 0.12848234176635742, 0.012847751379013062, 0.9125204086303711, 0.5988969206809998, -0.22815531492233276, 0.3986543118953705, -0.4120478928089142, -0.24149861931800842, 0.8631592392921448, -0.0805945172905922, -0.17624947428703308, 0.07461236417293549, -0.12571538984775543, 0.25855088233947754, -0.09770899266004562, 0.49471303820610046, 0.00007018099131528288, -0.896367609500885, 0.6584182381629944, -0.04914886876940727, -0.2226756066083908, 0.20795245468616486, 0.31453627347946167, 0.5739465951919556, 0.24903850257396698, 0.18268093466758728, -0.10486751794815063, 0.34193992614746094, 0.11518801748752594, 0.5097130537033081, -0.4892704486846924, -0.3686646819114685, -0.4660224914550781, -0.034604959189891815, 0.32645270228385925, 0.24080994725227356, 0.2342122346162796, 0.33880889415740967, -0.12393070757389069, -0.36463281512260437, -0.3245213031768799, -0.0773308053612709, -0.3350106179714203, -0.1251569241285324, 0.13604268431663513, 0.24023354053497314, 0.09302639216184616, 0.24468134343624115, 0.0766001045703888, 0.38985908031463623, 0.10377747565507889, -0.07534006983041763, -0.3529677093029022, -0.038248952478170395, -0.6212975382804871, -0.1023041233420372, 0.46421223878860474, 0.25088170170783997, 0.208011195063591, 0.3019322454929352]"
Special Topics on Network Based Computation,"[0.3372163772583008, 0.04036859795451164, 0.5070145130157471, 0.6906055212020874, 0.45843857526779175, -0.27112340927124023, 0.5978347063064575, -0.3680972158908844, 0.3333519697189331, 0.18290305137634277, -0.06863891333341599, -0.7769205570220947, 0.1318003386259079, 0.5847067832946777, -0.15950779616832733, -0.12886646389961243, 0.15214112401008606, 0.2933073043823242, -0.4383637607097626, 0.40428751707077026, -0.30553707480430603, -0.3402717113494873, -0.3342911899089813, -0.017564766108989716, -0.255974143743515, -0.27818766236305237, -0.17056234180927277, -0.2859722077846527, -0.25644826889038086, 0.44516074657440186, 0.43167147040367126, 0.06298156827688217, 0.5984011292457581, 0.11975142359733582, -0.7736138105392456, 0.3474860191345215, -0.48827841877937317, 0.14767852425575256, 0.26925331354141235, 0.3973749876022339, 0.4844689667224884, -0.31802085041999817, 0.03195228427648544, -0.5205934643745422, -0.250500351190567, 0.11739466339349747, -0.5536614060401917, 0.28669267892837524, 0.8757983446121216, -0.04350753873586655, 0.17065741121768951, 0.12690143287181854, -0.19032669067382812, 0.463376522064209, 0.13044168055057526, -0.6105045676231384, -0.3468402624130249, 0.044286441057920456, -0.2995583117008209, -0.3072549104690552, -0.21522070467472076, 0.42497095465660095, 0.3688121736049652, 0.37321051955223083]"
Special Topics on Intelligent Computation and Vision,"[0.5791271924972534, -0.03203937038779259, 0.02340613305568695, -0.39498791098594666, 0.4215579032897949, 0.09830871969461441, 1.1295342445373535, 0.14573025703430176, -0.2474236637353897, 0.0646880492568016, -0.46950411796569824, 0.2759799659252167, 0.16714996099472046, 0.07058489322662354, 0.33875641226768494, -0.005271071568131447, -0.1974705159664154, 0.15548381209373474, -0.2160622626543045, 0.40517622232437134, 0.05904911458492279, -0.6694527864456177, 0.6331069469451904, 0.15315790474414825, 0.08627871423959732, -0.1622706949710846, 0.09348355978727341, 0.313760906457901, -0.30964624881744385, 0.5143304467201233, -0.1421891748905182, 0.38117343187332153, 0.28026360273361206, 0.07425589114427567, -0.0035814812872558832, 0.5454848408699036, -0.6515575647354126, -0.43001940846443176, 0.0005608803476206958, -0.10998640954494476, 0.3300311863422394, 0.24407407641410828, 0.2113974243402481, -0.24589039385318756, -0.39395299553871155, -0.22554999589920044, 0.14293473958969116, -0.07135923206806183, 0.341743141412735, 0.7173647880554199, 0.16529014706611633, -0.20370206236839294, -0.41507256031036377, -0.04247409105300903, -0.23382583260536194, -0.5087968111038208, -0.3967213034629822, 0.16253827512264252, -0.4840924143791199, -0.28007954359054565, 0.4815717041492462, 0.9262956380844116, -0.1904153674840927, 0.5251376032829285]"
